"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +1.78872716500E+001, +0.00000000000E+000
+2.25025025025E+003, +1.11046341479E+002, +0.00000000000E+000
+3.50050050050E+003, -7.97760126483E+001, +0.00000000000E+000
+4.75075075075E+003, +6.16807636942E+000, +0.00000000000E+000
+6.00100100100E+003, -2.27629086480E+001, +0.00000000000E+000
+7.25125125125E+003, +3.18325478481E+001, +0.00000000000E+000
+8.50150150150E+003, +1.20283715654E+002, +0.00000000000E+000
+9.75175175175E+003, +6.21092936570E+001, +0.00000000000E+000
+1.10020020020E+004, +6.33683345504E+001, +0.00000000000E+000
+1.22522522523E+004, +5.32704661485E+001, +0.00000000000E+000
+1.35025025025E+004, -7.62039603888E+001, +0.00000000000E+000
+1.47527527528E+004, -1.09669849453E+002, +0.00000000000E+000
+1.60030030030E+004, -1.18147066594E+002, +0.00000000000E+000
+1.72532532533E+004, -1.19359599378E+002, +0.00000000000E+000
+1.85035035035E+004, -1.27389306061E+002, +0.00000000000E+000
+1.97537537538E+004, +6.09728417698E+001, +0.00000000000E+000
+2.10040040040E+004, +3.88121426849E+001, +0.00000000000E+000
+2.22542542543E+004, +1.47173798080E+002, +0.00000000000E+000
+2.35045045045E+004, +2.93630866665E+001, +0.00000000000E+000
+2.47547547548E+004, +4.58868487774E+001, +0.00000000000E+000
+2.60050050050E+004, +7.87153558609E+001, +0.00000000000E+000
+2.72552552553E+004, +2.62547401571E+001, +0.00000000000E+000
+2.85055055055E+004, -6.23347750223E+001, +0.00000000000E+000
+2.97557557558E+004, +4.32496719845E+001, +0.00000000000E+000
+3.10060060060E+004, +1.57477549379E+001, +0.00000000000E+000
+3.22562562563E+004, +2.11167561807E+001, +0.00000000000E+000
+3.35065065065E+004, +2.37651855121E+001, +0.00000000000E+000
+3.47567567568E+004, +1.17016722120E+001, +0.00000000000E+000
+3.60070070070E+004, -3.71623331172E+001, +0.00000000000E+000
+3.72572572573E+004, -1.54205815742E+002, +0.00000000000E+000
+3.85075075075E+004, -1.62896852722E+002, +0.00000000000E+000
+3.97577577578E+004, -1.69390578527E+002, +0.00000000000E+000
+4.10080080080E+004, -1.75236327397E+002, +0.00000000000E+000
+4.22582582583E+004, +1.72844452122E+002, +0.00000000000E+000
+4.35085085085E+004, +1.16691332727E+002, +0.00000000000E+000
+4.47587587588E+004, +3.40170509830E+001, +0.00000000000E+000
+4.60090090090E+004, +1.88438793640E+001, +0.00000000000E+000
+4.72592592593E+004, +1.25629096875E+001, +0.00000000000E+000
+4.85095095095E+004, +8.43451269419E+000, +0.00000000000E+000
+4.97597597598E+004, +4.83776453858E+000, +0.00000000000E+000
+5.10100100100E+004, +2.17808839325E+000, +0.00000000000E+000
+5.22602602603E+004, -3.15370412427E-001, +0.00000000000E+000
+5.35105105105E+004, -2.65825088336E+000, +0.00000000000E+000
+5.47607607608E+004, -5.19428295287E+000, +0.00000000000E+000
+5.60110110110E+004, -7.15332432603E+000, +0.00000000000E+000
+5.72612612613E+004, -9.44328134113E+000, +0.00000000000E+000
+5.85115115115E+004, -1.12498054339E+001, +0.00000000000E+000
+5.97617617618E+004, -1.31468758598E+001, +0.00000000000E+000
+6.10120120120E+004, -1.48580242071E+001, +0.00000000000E+000
+6.22622622623E+004, -1.70980111769E+001, +0.00000000000E+000
+6.35125125125E+004, -1.85652383414E+001, +0.00000000000E+000
+6.47627627628E+004, -2.12364868415E+001, +0.00000000000E+000
+6.60130130130E+004, -2.22437102805E+001, +0.00000000000E+000
+6.72632632633E+004, -2.40223563701E+001, +0.00000000000E+000
+6.85135135135E+004, -2.57651448056E+001, +0.00000000000E+000
+6.97637637638E+004, -2.73318312489E+001, +0.00000000000E+000
+7.10140140140E+004, -2.88517365978E+001, +0.00000000000E+000
+7.22642642643E+004, -3.08418687375E+001, +0.00000000000E+000
+7.35145145145E+004, -3.22348125117E+001, +0.00000000000E+000
+7.47647647648E+004, -3.37687309192E+001, +0.00000000000E+000
+7.60150150150E+004, -3.53173690122E+001, +0.00000000000E+000
+7.72652652653E+004, -3.66984299401E+001, +0.00000000000E+000
+7.85155155155E+004, -3.81458919359E+001, +0.00000000000E+000
+7.97657657658E+004, -3.98183684854E+001, +0.00000000000E+000
+8.10160160160E+004, -4.11255660684E+001, +0.00000000000E+000
+8.22662662663E+004, -4.26235476694E+001, +0.00000000000E+000
+8.35165165165E+004, -4.38507975862E+001, +0.00000000000E+000
+8.47667667668E+004, -4.52405307411E+001, +0.00000000000E+000
+8.60170170170E+004, -4.66622554659E+001, +0.00000000000E+000
+8.72672672673E+004, -4.77894516464E+001, +0.00000000000E+000
+8.85175175175E+004, -4.92024843040E+001, +0.00000000000E+000
+8.97677677678E+004, -5.05093923976E+001, +0.00000000000E+000
+9.10180180180E+004, -5.17656601508E+001, +0.00000000000E+000
+9.22682682683E+004, -5.28711254535E+001, +0.00000000000E+000
+9.35185185185E+004, -5.41093420419E+001, +0.00000000000E+000
+9.47687687688E+004, -5.55014076124E+001, +0.00000000000E+000
+9.60190190190E+004, -5.65269012698E+001, +0.00000000000E+000
+9.72692692693E+004, -5.77574326430E+001, +0.00000000000E+000
+9.85195195195E+004, -5.88302311830E+001, +0.00000000000E+000
+9.97697697698E+004, -6.00910098118E+001, +0.00000000000E+000
+1.01020020020E+005, -6.13020346403E+001, +0.00000000000E+000
+1.02270270270E+005, -6.22383096385E+001, +0.00000000000E+000
+1.03520520521E+005, -6.32835784828E+001, +0.00000000000E+000
+1.04770770771E+005, -6.43810034760E+001, +0.00000000000E+000
+1.06021021021E+005, -6.54948030994E+001, +0.00000000000E+000
+1.07271271271E+005, -6.64566528383E+001, +0.00000000000E+000
+1.08521521522E+005, -6.74473487186E+001, +0.00000000000E+000
+1.09771771772E+005, -6.85838325112E+001, +0.00000000000E+000
+1.11022022022E+005, -6.95162833811E+001, +0.00000000000E+000
+1.12272272272E+005, -7.05513383205E+001, +0.00000000000E+000
+1.13522522523E+005, -7.14062462011E+001, +0.00000000000E+000
+1.14772772773E+005, -7.23545977166E+001, +0.00000000000E+000
+1.16023023023E+005, -7.33259579788E+001, +0.00000000000E+000
+1.17273273273E+005, -7.43022586784E+001, +0.00000000000E+000
+1.18523523524E+005, -7.51515005239E+001, +0.00000000000E+000
+1.19773773774E+005, -7.60794315843E+001, +0.00000000000E+000
