"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -1.88213436313E+001, +0.00000000000E+000
+2.25025025025E+003, -2.67799023297E+001, +0.00000000000E+000
+3.50050050050E+003, -2.38883192806E+001, +0.00000000000E+000
+4.75075075075E+003, -1.74000799210E+001, +0.00000000000E+000
+6.00100100100E+003, -2.12147457803E+001, +0.00000000000E+000
+7.25125125125E+003, -1.01362954217E+001, +0.00000000000E+000
+8.50150150150E+003, -1.98499888458E+001, +0.00000000000E+000
+9.75175175175E+003, -1.26095350743E+001, +0.00000000000E+000
+1.10020020020E+004, -4.04214352715E+000, +0.00000000000E+000
+1.22522522523E+004, +3.69745483786E+000, +0.00000000000E+000
+1.35025025025E+004, +1.50402272389E+001, +0.00000000000E+000
+1.47527527528E+004, +1.95365143897E+000, +0.00000000000E+000
+1.60030030030E+004, -2.77336165362E-001, +0.00000000000E+000
+1.72532532533E+004, +6.80284716004E-001, +0.00000000000E+000
+1.85035035035E+004, +5.98687948193E+000, +0.00000000000E+000
+1.97537537538E+004, -5.63189127603E+000, +0.00000000000E+000
+2.10040040040E+004, -1.65289400422E+001, +0.00000000000E+000
+2.22542542543E+004, -2.24876135963E+001, +0.00000000000E+000
+2.35045045045E+004, -1.62690709347E+001, +0.00000000000E+000
+2.47547547548E+004, -2.59356387620E+001, +0.00000000000E+000
+2.60050050050E+004, -2.34245018800E+001, +0.00000000000E+000
+2.72552552553E+004, -3.37026761411E+001, +0.00000000000E+000
+2.85055055055E+004, -1.80909263650E+001, +0.00000000000E+000
+2.97557557558E+004, -1.75635161310E+001, +0.00000000000E+000
+3.10060060060E+004, -1.70763542448E+001, +0.00000000000E+000
+3.22562562563E+004, -2.11218021889E+000, +0.00000000000E+000
+3.35065065065E+004, +7.13893751391E+000, +0.00000000000E+000
+3.47567567568E+004, +1.80069516568E+001, +0.00000000000E+000
+3.60070070070E+004, +3.80669746143E+001, +0.00000000000E+000
+3.72572572573E+004, +3.06850566239E+001, +0.00000000000E+000
+3.85075075075E+004, +2.93864205110E+001, +0.00000000000E+000
+3.97577577578E+004, +3.09204551395E+001, +0.00000000000E+000
+4.10080080080E+004, +3.44154765674E+001, +0.00000000000E+000
+4.22582582583E+004, +4.00162853220E+001, +0.00000000000E+000
+4.35085085085E+004, +4.95192986627E+001, +0.00000000000E+000
+4.47587587588E+004, +4.33532178675E+001, +0.00000000000E+000
+4.60090090090E+004, +3.82378108543E+001, +0.00000000000E+000
+4.72592592593E+004, +3.55346733401E+001, +0.00000000000E+000
+4.85095095095E+004, +3.38530925014E+001, +0.00000000000E+000
+4.97597597598E+004, +3.27417015034E+001, +0.00000000000E+000
+5.10100100100E+004, +3.19781182233E+001, +0.00000000000E+000
+5.22602602603E+004, +3.14735424977E+001, +0.00000000000E+000
+5.35105105105E+004, +3.10920052501E+001, +0.00000000000E+000
+5.47607607608E+004, +3.08502314033E+001, +0.00000000000E+000
+5.60110110110E+004, +3.06965395810E+001, +0.00000000000E+000
+5.72612612613E+004, +3.05784797842E+001, +0.00000000000E+000
+5.85115115115E+004, +3.05614966282E+001, +0.00000000000E+000
+5.97617617618E+004, +3.05494377078E+001, +0.00000000000E+000
+6.10120120120E+004, +3.06025066572E+001, +0.00000000000E+000
