"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -2.01437414528E+001, +0.00000000000E+000
+2.25025025025E+003, -1.33913231051E+001, +0.00000000000E+000
+3.50050050050E+003, -9.92646127228E+000, +0.00000000000E+000
+4.75075075075E+003, -7.73369293949E+000, +0.00000000000E+000
+6.00100100100E+003, -6.22148709458E+000, +0.00000000000E+000
+7.25125125125E+003, -5.13562510432E+000, +0.00000000000E+000
+8.50150150150E+003, -4.32925262223E+000, +0.00000000000E+000
+9.75175175175E+003, -3.71887304004E+000, +0.00000000000E+000
+1.10020020020E+004, -3.24698673173E+000, +0.00000000000E+000
+1.22522522523E+004, -2.87709635095E+000, +0.00000000000E+000
+1.35025025025E+004, -2.58377794042E+000, +0.00000000000E+000
+1.47527527528E+004, -2.34737457802E+000, +0.00000000000E+000
+1.60030030030E+004, -2.15401072954E+000, +0.00000000000E+000
+1.72532532533E+004, -1.99463351265E+000, +0.00000000000E+000
+1.85035035035E+004, -1.86218887171E+000, +0.00000000000E+000
+1.97537537538E+004, -1.75131976785E+000, +0.00000000000E+000
+2.10040040040E+004, -1.65822774716E+000, +0.00000000000E+000
+2.22542542543E+004, -1.57780350606E+000, +0.00000000000E+000
+2.35045045045E+004, -1.50920703765E+000, +0.00000000000E+000
+2.47547547548E+004, -1.45080121725E+000, +0.00000000000E+000
+2.60050050050E+004, -1.39908399729E+000, +0.00000000000E+000
+2.72552552553E+004, -1.35416968458E+000, +0.00000000000E+000
+2.85055055055E+004, -1.31227096415E+000, +0.00000000000E+000
+2.97557557558E+004, -1.29295288068E+000, +0.00000000000E+000
+3.10060060060E+004, -1.33243846346E+000, +0.00000000000E+000
+3.22562562563E+004, -1.40725267496E+000, +0.00000000000E+000
+3.35065065065E+004, -1.23667986545E+000, +0.00000000000E+000
+3.47567567568E+004, -1.22066149648E+000, +0.00000000000E+000
+3.60070070070E+004, -1.17958877963E+000, +0.00000000000E+000
+3.72572572573E+004, -1.15155460805E+000, +0.00000000000E+000
+3.85075075075E+004, -1.13450423397E+000, +0.00000000000E+000
+3.97577577578E+004, -1.12620687766E+000, +0.00000000000E+000
+4.10080080080E+004, -1.11177788357E+000, +0.00000000000E+000
+4.22582582583E+004, -1.09725192964E+000, +0.00000000000E+000
+4.35085085085E+004, -1.08633694340E+000, +0.00000000000E+000
+4.47587587588E+004, -1.08328081274E+000, +0.00000000000E+000
+4.60090090090E+004, -1.07091281869E+000, +0.00000000000E+000
+4.72592592593E+004, -1.06045716787E+000, +0.00000000000E+000
+4.85095095095E+004, -1.05261876317E+000, +0.00000000000E+000
+4.97597597598E+004, -1.04546260718E+000, +0.00000000000E+000
+5.10100100100E+004, -1.03878946032E+000, +0.00000000000E+000
+5.22602602603E+004, -1.03337171154E+000, +0.00000000000E+000
+5.35105105105E+004, -1.02730865803E+000, +0.00000000000E+000
+5.47607607608E+004, -1.02233686740E+000, +0.00000000000E+000
+5.60110110110E+004, -1.01716129987E+000, +0.00000000000E+000
+5.72612612613E+004, -1.01212699619E+000, +0.00000000000E+000
+5.85115115115E+004, -1.00788581828E+000, +0.00000000000E+000
+5.97617617618E+004, -1.00387086927E+000, +0.00000000000E+000
+6.10120120120E+004, -1.00019738057E+000, +0.00000000000E+000
+6.22622622623E+004, -9.96351671982E-001, +0.00000000000E+000
+6.35125125125E+004, -9.93043273529E-001, +0.00000000000E+000
+6.47627627628E+004, -9.89949177843E-001, +0.00000000000E+000
+6.60130130130E+004, -9.86727282760E-001, +0.00000000000E+000
+6.72632632633E+004, -9.84197576625E-001, +0.00000000000E+000
+6.85135135135E+004, -9.81357889834E-001, +0.00000000000E+000
+6.97637637638E+004, -9.78764376368E-001, +0.00000000000E+000
+7.10140140140E+004, -9.76323224905E-001, +0.00000000000E+000
+7.22642642643E+004, -9.73963237803E-001, +0.00000000000E+000
+7.35145145145E+004, -9.72113198985E-001, +0.00000000000E+000
+7.47647647648E+004, -9.69927585689E-001, +0.00000000000E+000
+7.60150150150E+004, -9.67878925862E-001, +0.00000000000E+000
+7.72652652653E+004, -9.65838419371E-001, +0.00000000000E+000
+7.85155155155E+004, -9.64260206853E-001, +0.00000000000E+000
+7.97657657658E+004, -9.62697888116E-001, +0.00000000000E+000
+8.10160160160E+004, -9.61068305627E-001, +0.00000000000E+000
