"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -2.04145589797E+001, +0.00000000000E+000
+2.25025025025E+003, -1.38118378504E+001, +0.00000000000E+000
+3.50050050050E+003, -1.05619930692E+001, +0.00000000000E+000
+4.75075075075E+003, -8.60754988942E+000, +0.00000000000E+000
+6.00100100100E+003, -7.33116016809E+000, +0.00000000000E+000
+7.25125125125E+003, -6.46025721974E+000, +0.00000000000E+000
+8.50150150150E+003, -5.84170745521E+000, +0.00000000000E+000
+9.75175175175E+003, -5.39022053718E+000, +0.00000000000E+000
+1.10020020020E+004, -5.05347109757E+000, +0.00000000000E+000
+1.22522522523E+004, -4.79471547849E+000, +0.00000000000E+000
+1.35025025025E+004, -4.59484232435E+000, +0.00000000000E+000
+1.47527527528E+004, -4.43575137837E+000, +0.00000000000E+000
+1.60030030030E+004, -4.30722921976E+000, +0.00000000000E+000
+1.72532532533E+004, -4.20249991046E+000, +0.00000000000E+000
+1.85035035035E+004, -4.11675337405E+000, +0.00000000000E+000
+1.97537537538E+004, -4.04469278059E+000, +0.00000000000E+000
+2.10040040040E+004, -3.98453117198E+000, +0.00000000000E+000
+2.22542542543E+004, -3.93392555544E+000, +0.00000000000E+000
+2.35045045045E+004, -3.88941068388E+000, +0.00000000000E+000
+2.47547547548E+004, -3.85143026830E+000, +0.00000000000E+000
+2.60050050050E+004, -3.81808713303E+000, +0.00000000000E+000
+2.72552552553E+004, -3.78957447493E+000, +0.00000000000E+000
+2.85055055055E+004, -3.76246188329E+000, +0.00000000000E+000
+2.97557557558E+004, -3.75275546638E+000, +0.00000000000E+000
+3.10060060060E+004, -3.79200598993E+000, +0.00000000000E+000
+3.22562562563E+004, -3.84756994578E+000, +0.00000000000E+000
+3.35065065065E+004, -3.71294399303E+000, +0.00000000000E+000
+3.47567567568E+004, -3.70761427501E+000, +0.00000000000E+000
+3.60070070070E+004, -3.67663806387E+000, +0.00000000000E+000
+3.72572572573E+004, -3.65595506614E+000, +0.00000000000E+000
+3.85075075075E+004, -3.64382739198E+000, +0.00000000000E+000
+3.97577577578E+004, -3.64110619784E+000, +0.00000000000E+000
+4.10080080080E+004, -3.63027715027E+000, +0.00000000000E+000
+4.22582582583E+004, -3.61933500285E+000, +0.00000000000E+000
+4.35085085085E+004, -3.61212583476E+000, +0.00000000000E+000
+4.47587587588E+004, -3.61258489520E+000, +0.00000000000E+000
+4.60090090090E+004, -3.60200484748E+000, +0.00000000000E+000
+4.72592592593E+004, -3.59449676216E+000, +0.00000000000E+000
+4.85095095095E+004, -3.58964771914E+000, +0.00000000000E+000
+4.97597597598E+004, -3.58466995879E+000, +0.00000000000E+000
+5.10100100100E+004, -3.58032895960E+000, +0.00000000000E+000
+5.22602602603E+004, -3.57612724776E+000, +0.00000000000E+000
+5.35105105105E+004, -3.57223146016E+000, +0.00000000000E+000
+5.47607607608E+004, -3.56871282766E+000, +0.00000000000E+000
+5.60110110110E+004, -3.56545203585E+000, +0.00000000000E+000
+5.72612612613E+004, -3.56200572227E+000, +0.00000000000E+000
+5.85115115115E+004, -3.55905384382E+000, +0.00000000000E+000
+5.97617617618E+004, -3.55585441346E+000, +0.00000000000E+000
+6.10120120120E+004, -3.55366652978E+000, +0.00000000000E+000
+6.22622622623E+004, -3.55083911554E+000, +0.00000000000E+000
+6.35125125125E+004, -3.54868359118E+000, +0.00000000000E+000
+6.47627627628E+004, -3.54638408879E+000, +0.00000000000E+000
+6.60130130130E+004, -3.54364316914E+000, +0.00000000000E+000
+6.72632632633E+004, -3.54219643084E+000, +0.00000000000E+000
+6.85135135135E+004, -3.54020404325E+000, +0.00000000000E+000
+6.97637637638E+004, -3.53809370371E+000, +0.00000000000E+000
+7.10140140140E+004, -3.53670760627E+000, +0.00000000000E+000
+7.22642642643E+004, -3.53527619537E+000, +0.00000000000E+000
+7.35145145145E+004, -3.53439049790E+000, +0.00000000000E+000
+7.47647647648E+004, -3.53260280470E+000, +0.00000000000E+000
+7.60150150150E+004, -3.53099573963E+000, +0.00000000000E+000
+7.72652652653E+004, -3.52992751748E+000, +0.00000000000E+000
+7.85155155155E+004, -3.52930330382E+000, +0.00000000000E+000
+7.97657657658E+004, -3.52739391610E+000, +0.00000000000E+000
+8.10160160160E+004, -3.52619223394E+000, +0.00000000000E+000
+8.22662662663E+004, -3.52570351543E+000, +0.00000000000E+000
+8.35165165165E+004, -3.52501731799E+000, +0.00000000000E+000
+8.47667667668E+004, -3.52332517923E+000, +0.00000000000E+000
+8.60170170170E+004, -3.52263981729E+000, +0.00000000000E+000
+8.72672672673E+004, -3.52192157080E+000, +0.00000000000E+000
+8.85175175175E+004, -3.51992154522E+000, +0.00000000000E+000
+8.97677677678E+004, -3.51990007241E+000, +0.00000000000E+000
+9.10180180180E+004, -3.51957913465E+000, +0.00000000000E+000
+9.22682682683E+004, -3.51738522144E+000, +0.00000000000E+000
+9.35185185185E+004, -3.51733543064E+000, +0.00000000000E+000
+9.47687687688E+004, -3.51709675752E+000, +0.00000000000E+000
+9.60190190190E+004, -3.51594927848E+000, +0.00000000000E+000
+9.72692692693E+004, -3.51517736202E+000, +0.00000000000E+000
+9.85195195195E+004, -3.51491507020E+000, +0.00000000000E+000
+9.97697697698E+004, -3.51458575658E+000, +0.00000000000E+000
+1.01020020020E+005, -3.51251309407E+000, +0.00000000000E+000
+1.02270270270E+005, -3.51270536824E+000, +0.00000000000E+000
+1.03520520521E+005, -3.51294122414E+000, +0.00000000000E+000
+1.04770770771E+005, -3.51171994887E+000, +0.00000000000E+000
+1.06021021021E+005, -3.51209377719E+000, +0.00000000000E+000
+1.07271271271E+005, -3.51155883633E+000, +0.00000000000E+000
+1.08521521522E+005, -3.51033910200E+000, +0.00000000000E+000
+1.09771771772E+005, -3.51061468002E+000, +0.00000000000E+000
+1.11022022022E+005, -3.50947727482E+000, +0.00000000000E+000
+1.12272272272E+005, -3.50956679646E+000, +0.00000000000E+000
+1.13522522523E+005, -3.51033035722E+000, +0.00000000000E+000
+1.14772772773E+005, -3.50860030416E+000, +0.00000000000E+000
+1.16023023023E+005, -3.50861844483E+000, +0.00000000000E+000
+1.17273273273E+005, -3.50898072670E+000, +0.00000000000E+000
+1.18523523524E+005, -3.50787302417E+000, +0.00000000000E+000
+1.19773773774E+005, -3.50682207716E+000, +0.00000000000E+000
+1.21024024024E+005, -3.50659041004E+000, +0.00000000000E+000
+1.22274274274E+005, -3.50652423446E+000, +0.00000000000E+000
+1.23524524525E+005, -3.50674689178E+000, +0.00000000000E+000
+1.24774774775E+005, -3.50727531736E+000, +0.00000000000E+000
+1.26025025025E+005, -3.50562631255E+000, +0.00000000000E+000
+1.27275275275E+005, -3.50616495516E+000, +0.00000000000E+000
+1.28525525526E+005, -3.50635118503E+000, +0.00000000000E+000
+1.29775775776E+005, -3.50606594730E+000, +0.00000000000E+000
+1.31026026026E+005, -3.50569125293E+000, +0.00000000000E+000
+1.32276276276E+005, -3.50538317258E+000, +0.00000000000E+000
+1.33526526527E+005, -3.50482891033E+000, +0.00000000000E+000
+1.34776776777E+005, -3.50507130171E+000, +0.00000000000E+000
+1.36027027027E+005, -3.50546847546E+000, +0.00000000000E+000
+1.37277277277E+005, -3.50517019801E+000, +0.00000000000E+000
+1.38527527528E+005, -3.50485585074E+000, +0.00000000000E+000
+1.39777777778E+005, -3.50501981175E+000, +0.00000000000E+000
+1.41028028028E+005, -3.50503324642E+000, +0.00000000000E+000
+1.42278278278E+005, -3.50446871623E+000, +0.00000000000E+000
+1.43528528529E+005, -3.50427472010E+000, +0.00000000000E+000
+1.44778778779E+005, -3.50468265899E+000, +0.00000000000E+000
+1.46029029029E+005, -3.50459378367E+000, +0.00000000000E+000
+1.47279279279E+005, -3.50451497495E+000, +0.00000000000E+000
+1.48529529530E+005, -3.50378685800E+000, +0.00000000000E+000
+1.49779779780E+005, -3.50397361753E+000, +0.00000000000E+000
+1.51030030030E+005, -3.50342237099E+000, +0.00000000000E+000
+1.52280280280E+005, -3.50332385960E+000, +0.00000000000E+000
+1.53530530531E+005, -3.50476068434E+000, +0.00000000000E+000
+1.54780780781E+005, -3.50436061240E+000, +0.00000000000E+000
+1.56031031031E+005, -3.50400949981E+000, +0.00000000000E+000
+1.57281281281E+005, -3.50375302740E+000, +0.00000000000E+000
+1.58531531532E+005, -3.50383227078E+000, +0.00000000000E+000
+1.59781781782E+005, -3.50268524613E+000, +0.00000000000E+000
+1.61032032032E+005, -3.50389692637E+000, +0.00000000000E+000
+1.62282282282E+005, -3.50337298638E+000, +0.00000000000E+000
+1.63532532533E+005, -3.50372881545E+000, +0.00000000000E+000
+1.64782782783E+005, -3.50417128338E+000, +0.00000000000E+000
+1.66033033033E+005, -3.50346152187E+000, +0.00000000000E+000
+1.67283283283E+005, -3.50444725563E+000, +0.00000000000E+000
+1.68533533534E+005, -3.50252346180E+000, +0.00000000000E+000
+1.69783783784E+005, -3.50382365971E+000, +0.00000000000E+000
+1.71034034034E+005, -3.50275801141E+000, +0.00000000000E+000
+1.72284284284E+005, -3.50284044228E+000, +0.00000000000E+000
+1.73534534535E+005, -3.50375743852E+000, +0.00000000000E+000
