"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +8.26576145887E+001, +0.00000000000E+000
+2.25025025025E+003, +7.52762802941E+001, +0.00000000000E+000
+3.50050050050E+003, +6.83454740543E+001, +0.00000000000E+000
+4.75075075075E+003, +6.20124752589E+001, +0.00000000000E+000
+6.00100100100E+003, +5.63203048541E+001, +0.00000000000E+000
+7.25125125125E+003, +5.12716180110E+001, +0.00000000000E+000
+8.50150150150E+003, +4.68119097096E+001, +0.00000000000E+000
+9.75175175175E+003, +4.28973860981E+001, +0.00000000000E+000
+1.10020020020E+004, +3.94480963276E+001, +0.00000000000E+000
+1.22522522523E+004, +3.64148310245E+001, +0.00000000000E+000
+1.35025025025E+004, +3.37458198565E+001, +0.00000000000E+000
+1.47527527528E+004, +3.13769493339E+001, +0.00000000000E+000
+1.60030030030E+004, +2.92742916815E+001, +0.00000000000E+000
+1.72532532533E+004, +2.73978845610E+001, +0.00000000000E+000
+1.85035035035E+004, +2.57167169764E+001, +0.00000000000E+000
+1.97537537538E+004, +2.42055484860E+001, +0.00000000000E+000
+2.10040040040E+004, +2.28345505595E+001, +0.00000000000E+000
+2.22542542543E+004, +2.16049807671E+001, +0.00000000000E+000
+2.35045045045E+004, +2.04681232922E+001, +0.00000000000E+000
+2.47547547548E+004, +1.94278062010E+001, +0.00000000000E+000
+2.60050050050E+004, +1.84697672368E+001, +0.00000000000E+000
+2.72552552553E+004, +1.75772445555E+001, +0.00000000000E+000
+2.85055055055E+004, +1.66978976152E+001, +0.00000000000E+000
+2.97557557558E+004, +1.57383116877E+001, +0.00000000000E+000
+3.10060060060E+004, +1.48027083388E+001, +0.00000000000E+000
+3.22562562563E+004, +1.53625893654E+001, +0.00000000000E+000
+3.35065065065E+004, +1.48903480386E+001, +0.00000000000E+000
+3.47567567568E+004, +1.39883865710E+001, +0.00000000000E+000
+3.60070070070E+004, +1.34743467442E+001, +0.00000000000E+000
+3.72572572573E+004, +1.30337241679E+001, +0.00000000000E+000
+3.85075075075E+004, +1.25381075993E+001, +0.00000000000E+000
+3.97577577578E+004, +1.20927157264E+001, +0.00000000000E+000
+4.10080080080E+004, +1.17475633571E+001, +0.00000000000E+000
+4.22582582583E+004, +1.13570637316E+001, +0.00000000000E+000
+4.35085085085E+004, +1.09985094466E+001, +0.00000000000E+000
+4.47587587588E+004, +1.06896310733E+001, +0.00000000000E+000
+4.60090090090E+004, +1.03937125715E+001, +0.00000000000E+000
+4.72592592593E+004, +1.01083619824E+001, +0.00000000000E+000
+4.85095095095E+004, +9.84164518931E+000, +0.00000000000E+000
+4.97597597598E+004, +9.57898840716E+000, +0.00000000000E+000
+5.10100100100E+004, +9.33517824093E+000, +0.00000000000E+000
+5.22602602603E+004, +9.09723726919E+000, +0.00000000000E+000
+5.35105105105E+004, +8.87148993998E+000, +0.00000000000E+000
+5.47607607608E+004, +8.66192745909E+000, +0.00000000000E+000
+5.60110110110E+004, +8.46288348791E+000, +0.00000000000E+000
+5.72612612613E+004, +8.26958069466E+000, +0.00000000000E+000
+5.85115115115E+004, +8.08597600218E+000, +0.00000000000E+000
+5.97617617618E+004, +7.90748709875E+000, +0.00000000000E+000
+6.10120120120E+004, +7.74026601719E+000, +0.00000000000E+000
+6.22622622623E+004, +7.57577316874E+000, +0.00000000000E+000
+6.35125125125E+004, +7.42137639713E+000, +0.00000000000E+000
+6.47627627628E+004, +7.27192537780E+000, +0.00000000000E+000
+6.60130130130E+004, +7.12731090219E+000, +0.00000000000E+000
+6.72632632633E+004, +6.99010944426E+000, +0.00000000000E+000
+6.85135135135E+004, +6.85510369217E+000, +0.00000000000E+000
+6.97637637638E+004, +6.72715282759E+000, +0.00000000000E+000
+7.10140140140E+004, +6.60333551662E+000, +0.00000000000E+000
+7.22642642643E+004, +6.48520090717E+000, +0.00000000000E+000
+7.35145145145E+004, +6.37174864353E+000, +0.00000000000E+000
+7.47647647648E+004, +6.26019560873E+000, +0.00000000000E+000
+7.60150150150E+004, +6.15205439787E+000, +0.00000000000E+000
+7.72652652653E+004, +6.04765920092E+000, +0.00000000000E+000
+7.85155155155E+004, +5.95023412219E+000, +0.00000000000E+000
+7.97657657658E+004, +5.85115914626E+000, +0.00000000000E+000
+8.10160160160E+004, +5.75822174765E+000, +0.00000000000E+000
+8.22662662663E+004, +5.67048718069E+000, +0.00000000000E+000
+8.35165165165E+004, +5.57928096712E+000, +0.00000000000E+000
+8.47667667668E+004, +5.49343094397E+000, +0.00000000000E+000
+8.60170170170E+004, +5.40792198620E+000, +0.00000000000E+000
+8.72672672673E+004, +5.32850904429E+000, +0.00000000000E+000
+8.85175175175E+004, +5.25355103211E+000, +0.00000000000E+000
+8.97677677678E+004, +5.17419121773E+000, +0.00000000000E+000
+9.10180180180E+004, +5.09976879835E+000, +0.00000000000E+000
+9.22682682683E+004, +5.03085568042E+000, +0.00000000000E+000
+9.35185185185E+004, +4.96272112714E+000, +0.00000000000E+000
+9.47687687688E+004, +4.89740873122E+000, +0.00000000000E+000
+9.60190190190E+004, +4.82659584196E+000, +0.00000000000E+000
+9.72692692693E+004, +4.76213216363E+000, +0.00000000000E+000
+9.85195195195E+004, +4.69938969336E+000, +0.00000000000E+000
+9.97697697698E+004, +4.63577461687E+000, +0.00000000000E+000
+1.01020020020E+005, +4.57745366933E+000, +0.00000000000E+000
+1.02270270270E+005, +4.51809329860E+000, +0.00000000000E+000
+1.03520520521E+005, +4.46188932089E+000, +0.00000000000E+000
+1.04770770771E+005, +4.40262893942E+000, +0.00000000000E+000
+1.06021021021E+005, +4.34978814567E+000, +0.00000000000E+000
+1.07271271271E+005, +4.29862794608E+000, +0.00000000000E+000
+1.08521521522E+005, +4.24451929596E+000, +0.00000000000E+000
+1.09771771772E+005, +4.19655791724E+000, +0.00000000000E+000
+1.11022022022E+005, +4.14664237731E+000, +0.00000000000E+000
+1.12272272272E+005, +4.09975778874E+000, +0.00000000000E+000
+1.13522522523E+005, +4.05004028045E+000, +0.00000000000E+000
+1.14772772773E+005, +4.00143967596E+000, +0.00000000000E+000
+1.16023023023E+005, +3.95781645353E+000, +0.00000000000E+000
+1.17273273273E+005, +3.91452405501E+000, +0.00000000000E+000
+1.18523523524E+005, +3.87198744933E+000, +0.00000000000E+000
+1.19773773774E+005, +3.82817606238E+000, +0.00000000000E+000
+1.21024024024E+005, +3.78530102584E+000, +0.00000000000E+000
+1.22274274274E+005, +3.74548614660E+000, +0.00000000000E+000
+1.23524524525E+005, +3.70482724625E+000, +0.00000000000E+000
+1.24774774775E+005, +3.66649770394E+000, +0.00000000000E+000
+1.26025025025E+005, +3.62709266800E+000, +0.00000000000E+000
+1.27275275275E+005, +3.59198766105E+000, +0.00000000000E+000
+1.28525525526E+005, +3.55194256222E+000, +0.00000000000E+000
+1.29775775776E+005, +3.51777617988E+000, +0.00000000000E+000
+1.31026026026E+005, +3.47683133322E+000, +0.00000000000E+000
+1.32276276276E+005, +3.44495286116E+000, +0.00000000000E+000
+1.33526526527E+005, +3.41280551403E+000, +0.00000000000E+000
+1.34776776777E+005, +3.37499560021E+000, +0.00000000000E+000
+1.36027027027E+005, +3.34292278885E+000, +0.00000000000E+000
+1.37277277277E+005, +3.30671767454E+000, +0.00000000000E+000
+1.38527527528E+005, +3.28200390921E+000, +0.00000000000E+000
+1.39777777778E+005, +3.24481647330E+000, +0.00000000000E+000
+1.41028028028E+005, +3.21526651459E+000, +0.00000000000E+000
+1.42278278278E+005, +3.18659730594E+000, +0.00000000000E+000
+1.43528528529E+005, +3.15409796588E+000, +0.00000000000E+000
+1.44778778779E+005, +3.12527202397E+000, +0.00000000000E+000
+1.46029029029E+005, +3.09495962456E+000, +0.00000000000E+000
+1.47279279279E+005, +3.06689077171E+000, +0.00000000000E+000
+1.48529529530E+005, +3.03543127022E+000, +0.00000000000E+000
