"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +8.04726078873E+001, +0.00000000000E+000
+2.25025025025E+003, +7.07075132570E+001, +0.00000000000E+000
+3.50050050050E+003, +6.19424812004E+001, +0.00000000000E+000
+4.75075075075E+003, +5.43591603718E+001, +0.00000000000E+000
+6.00100100100E+003, +4.79197828995E+001, +0.00000000000E+000
+7.25125125125E+003, +4.25174565328E+001, +0.00000000000E+000
+8.50150150150E+003, +3.79896067904E+001, +0.00000000000E+000
+9.75175175175E+003, +3.41883848740E+001, +0.00000000000E+000
+1.10020020020E+004, +3.09696645176E+001, +0.00000000000E+000
+1.22522522523E+004, +2.82302486116E+001, +0.00000000000E+000
+1.35025025025E+004, +2.58900712342E+001, +0.00000000000E+000
+1.47527527528E+004, +2.38674237287E+001, +0.00000000000E+000
+1.60030030030E+004, +2.21175310553E+001, +0.00000000000E+000
+1.72532532533E+004, +2.05830647100E+001, +0.00000000000E+000
+1.85035035035E+004, +1.92323619716E+001, +0.00000000000E+000
+1.97537537538E+004, +1.80312742053E+001, +0.00000000000E+000
+2.10040040040E+004, +1.69581197973E+001, +0.00000000000E+000
+2.22542542543E+004, +1.59940536498E+001, +0.00000000000E+000
+2.35045045045E+004, +1.51266845840E+001, +0.00000000000E+000
+2.47547547548E+004, +1.43315869754E+001, +0.00000000000E+000
+2.60050050050E+004, +1.35985928065E+001, +0.00000000000E+000
+2.72552552553E+004, +1.29220288325E+001, +0.00000000000E+000
+2.85055055055E+004, +1.22599584782E+001, +0.00000000000E+000
+2.97557557558E+004, +1.15506086749E+001, +0.00000000000E+000
+3.10060060060E+004, +1.08914606156E+001, +0.00000000000E+000
+3.22562562563E+004, +1.13213781845E+001, +0.00000000000E+000
+3.35065065065E+004, +1.08710072724E+001, +0.00000000000E+000
+3.47567567568E+004, +1.01985388643E+001, +0.00000000000E+000
+3.60070070070E+004, +9.79719342692E+000, +0.00000000000E+000
+3.72572572573E+004, +9.45844877791E+000, +0.00000000000E+000
+3.85075075075E+004, +9.07412116106E+000, +0.00000000000E+000
+3.97577577578E+004, +8.73837842404E+000, +0.00000000000E+000
+4.10080080080E+004, +8.47363928161E+000, +0.00000000000E+000
+4.22582582583E+004, +8.16974062246E+000, +0.00000000000E+000
+4.35085085085E+004, +7.88688911150E+000, +0.00000000000E+000
+4.47587587588E+004, +7.64687862066E+000, +0.00000000000E+000
+4.60090090090E+004, +7.41443354729E+000, +0.00000000000E+000
+4.72592592593E+004, +7.19572300193E+000, +0.00000000000E+000
+4.85095095095E+004, +6.97604944326E+000, +0.00000000000E+000
+4.97597597598E+004, +6.77010631469E+000, +0.00000000000E+000
+5.10100100100E+004, +6.57360210786E+000, +0.00000000000E+000
+5.22602602603E+004, +6.37745262547E+000, +0.00000000000E+000
+5.35105105105E+004, +6.19721624607E+000, +0.00000000000E+000
+5.47607607608E+004, +6.02842956134E+000, +0.00000000000E+000
+5.60110110110E+004, +5.86158787260E+000, +0.00000000000E+000
+5.72612612613E+004, +5.70335705575E+000, +0.00000000000E+000
+5.85115115115E+004, +5.54976945457E+000, +0.00000000000E+000
+5.97617617618E+004, +5.40358729071E+000, +0.00000000000E+000
+6.10120120120E+004, +5.25896022374E+000, +0.00000000000E+000
+6.22622622623E+004, +5.12335053231E+000, +0.00000000000E+000
+6.35125125125E+004, +4.99262371870E+000, +0.00000000000E+000
+6.47627627628E+004, +4.86366041118E+000, +0.00000000000E+000
+6.60130130130E+004, +4.74363156444E+000, +0.00000000000E+000
+6.72632632633E+004, +4.61985699510E+000, +0.00000000000E+000
+6.85135135135E+004, +4.50093013995E+000, +0.00000000000E+000
+6.97637637638E+004, +4.39262271720E+000, +0.00000000000E+000
+7.10140140140E+004, +4.28156498267E+000, +0.00000000000E+000
+7.22642642643E+004, +4.17813312579E+000, +0.00000000000E+000
+7.35145145145E+004, +4.07551050610E+000, +0.00000000000E+000
+7.47647647648E+004, +3.97731513158E+000, +0.00000000000E+000
+7.60150150150E+004, +3.87911397089E+000, +0.00000000000E+000
+7.72652652653E+004, +3.78650106932E+000, +0.00000000000E+000
+7.85155155155E+004, +3.69573358658E+000, +0.00000000000E+000
+7.97657657658E+004, +3.60762474834E+000, +0.00000000000E+000
+8.10160160160E+004, +3.51746855841E+000, +0.00000000000E+000
+8.22662662663E+004, +3.43534440563E+000, +0.00000000000E+000
+8.35165165165E+004, +3.35450171333E+000, +0.00000000000E+000
+8.47667667668E+004, +3.27237029741E+000, +0.00000000000E+000
+8.60170170170E+004, +3.19318856853E+000, +0.00000000000E+000
+8.72672672673E+004, +3.11438258064E+000, +0.00000000000E+000
+8.85175175175E+004, +3.03855517536E+000, +0.00000000000E+000
+8.97677677678E+004, +2.96521879619E+000, +0.00000000000E+000
+9.10180180180E+004, +2.89621056353E+000, +0.00000000000E+000
+9.22682682683E+004, +2.82447668410E+000, +0.00000000000E+000
+9.35185185185E+004, +2.75695775681E+000, +0.00000000000E+000
+9.47687687688E+004, +2.68806221420E+000, +0.00000000000E+000
+9.60190190190E+004, +2.62466554008E+000, +0.00000000000E+000
+9.72692692693E+004, +2.55525531340E+000, +0.00000000000E+000
+9.85195195195E+004, +2.49249791883E+000, +0.00000000000E+000
+9.97697697698E+004, +2.43160269506E+000, +0.00000000000E+000
+1.01020020020E+005, +2.36745378639E+000, +0.00000000000E+000
+1.02270270270E+005, +2.30700080647E+000, +0.00000000000E+000
+1.03520520521E+005, +2.24904306600E+000, +0.00000000000E+000
+1.04770770771E+005, +2.19216283049E+000, +0.00000000000E+000
+1.06021021021E+005, +2.13570704021E+000, +0.00000000000E+000
+1.07271271271E+005, +2.07511819610E+000, +0.00000000000E+000
+1.08521521522E+005, +2.01925618597E+000, +0.00000000000E+000
+1.09771771772E+005, +1.96783895783E+000, +0.00000000000E+000
+1.11022022022E+005, +1.91293577701E+000, +0.00000000000E+000
+1.12272272272E+005, +1.86471371629E+000, +0.00000000000E+000
+1.13522522523E+005, +1.80850003012E+000, +0.00000000000E+000
+1.14772772773E+005, +1.75833748837E+000, +0.00000000000E+000
+1.16023023023E+005, +1.71564321291E+000, +0.00000000000E+000
+1.17273273273E+005, +1.65498520186E+000, +0.00000000000E+000
+1.18523523524E+005, +1.60998009758E+000, +0.00000000000E+000
+1.19773773774E+005, +1.56305628863E+000, +0.00000000000E+000
+1.21024024024E+005, +1.51703622259E+000, +0.00000000000E+000
