"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -4.17317262766E+001, +0.00000000000E+000
+2.25025025025E+003, -4.08640041894E+001, +0.00000000000E+000
+3.50050050050E+003, -4.58697170632E+001, +0.00000000000E+000
+4.75075075075E+003, -4.27167387051E+001, +0.00000000000E+000
+6.00100100100E+003, -3.32700118351E+001, +0.00000000000E+000
+7.25125125125E+003, -3.97236124154E+001, +0.00000000000E+000
+8.50150150150E+003, -4.37490319090E+001, +0.00000000000E+000
+9.75175175175E+003, -4.07584783411E+001, +0.00000000000E+000
+1.10020020020E+004, -4.32306217725E+001, +0.00000000000E+000
+1.22522522523E+004, -4.40903226831E+001, +0.00000000000E+000
+1.35025025025E+004, -3.93919780293E+001, +0.00000000000E+000
+1.47527527528E+004, -3.25958878657E+001, +0.00000000000E+000
+1.60030030030E+004, -2.95762171210E+001, +0.00000000000E+000
+1.72532532533E+004, -4.18942233177E+001, +0.00000000000E+000
+1.85035035035E+004, -3.81233327883E+001, +0.00000000000E+000
+1.97537537538E+004, -3.42152817689E+001, +0.00000000000E+000
+2.10040040040E+004, -4.55809913145E+001, +0.00000000000E+000
+2.22542542543E+004, -4.88500944205E+001, +0.00000000000E+000
+2.35045045045E+004, -6.01470188667E+001, +0.00000000000E+000
+2.47547547548E+004, -6.69619835652E+001, +0.00000000000E+000
+2.60050050050E+004, -7.15675773788E+001, +0.00000000000E+000
+2.72552552553E+004, -4.95846169448E+001, +0.00000000000E+000
+2.85055055055E+004, -5.56505307239E+001, +0.00000000000E+000
+2.97557557558E+004, -4.54050806095E+001, +0.00000000000E+000
+3.10060060060E+004, -5.69763944166E+001, +0.00000000000E+000
+3.22562562563E+004, -5.81589489554E+001, +0.00000000000E+000
+3.35065065065E+004, -3.31892321394E+001, +0.00000000000E+000
+3.47567567568E+004, -1.81912181589E+001, +0.00000000000E+000
+3.60070070070E+004, -1.28326229597E+001, +0.00000000000E+000
+3.72572572573E+004, -2.36568888733E+001, +0.00000000000E+000
+3.85075075075E+004, -2.53089539614E+001, +0.00000000000E+000
+3.97577577578E+004, -2.27108872167E+001, +0.00000000000E+000
+4.10080080080E+004, -2.16010514942E+001, +0.00000000000E+000
+4.22582582583E+004, -2.11056376235E+001, +0.00000000000E+000
+4.35085085085E+004, -1.24641088256E+001, +0.00000000000E+000
+4.47587587588E+004, -1.41615337603E+001, +0.00000000000E+000
+4.60090090090E+004, -1.46661877697E+001, +0.00000000000E+000
+4.72592592593E+004, -1.34825636833E+001, +0.00000000000E+000
+4.85095095095E+004, -1.16097400976E+001, +0.00000000000E+000
+4.97597597598E+004, -9.54949886005E+000, +0.00000000000E+000
+5.10100100100E+004, -7.23540117091E+000, +0.00000000000E+000
+5.22602602603E+004, -4.87797230257E+000, +0.00000000000E+000
+5.35105105105E+004, -1.67294633835E+000, +0.00000000000E+000
+5.47607607608E+004, +2.35512072063E+000, +0.00000000000E+000
+5.60110110110E+004, +8.68989149431E+000, +0.00000000000E+000
+5.72612612613E+004, +2.74051805268E+001, +0.00000000000E+000
+5.85115115115E+004, +1.08179213990E+001, +0.00000000000E+000
