"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +6.72898759213E+001, +0.00000000000E+000
+2.25025025025E+003, -1.44608461439E+002, +0.00000000000E+000
+3.50050050050E+003, -1.18808295706E+002, +0.00000000000E+000
+4.75075075075E+003, -1.28233551471E+002, +0.00000000000E+000
+6.00100100100E+003, -2.26790744398E+001, +0.00000000000E+000
+7.25125125125E+003, +8.22959248041E+000, +0.00000000000E+000
+8.50150150150E+003, -7.02553042535E+001, +0.00000000000E+000
+9.75175175175E+003, -1.70090351762E+002, +0.00000000000E+000
+1.10020020020E+004, +1.26925190928E+002, +0.00000000000E+000
+1.22522522523E+004, -1.64973071434E+002, +0.00000000000E+000
+1.35025025025E+004, +1.20055155408E+002, +0.00000000000E+000
+1.47527527528E+004, +6.88062312111E+001, +0.00000000000E+000
+1.60030030030E+004, -9.06877643898E+001, +0.00000000000E+000
+1.72532532533E+004, -1.03818251920E+002, +0.00000000000E+000
+1.85035035035E+004, -1.25076575969E+002, +0.00000000000E+000
+1.97537537538E+004, -2.67734899895E+001, +0.00000000000E+000
+2.10040040040E+004, +8.70456839539E+001, +0.00000000000E+000
+2.22542542543E+004, +1.55271314600E+002, +0.00000000000E+000
+2.35045045045E+004, +1.20389142504E+002, +0.00000000000E+000
+2.47547547548E+004, +8.12274159186E+001, +0.00000000000E+000
+2.60050050050E+004, -9.74021312262E+001, +0.00000000000E+000
+2.72552552553E+004, +1.54197690042E+000, +0.00000000000E+000
+2.85055055055E+004, -5.16043370743E+001, +0.00000000000E+000
+2.97557557558E+004, +5.57784858521E+001, +0.00000000000E+000
+3.10060060060E+004, +1.58452650467E+002, +0.00000000000E+000
+3.22562562563E+004, -8.53818618253E+001, +0.00000000000E+000
+3.35065065065E+004, +5.81430359486E+000, +0.00000000000E+000
+3.47567567568E+004, +1.48336897224E+001, +0.00000000000E+000
+3.60070070070E+004, -1.76190747692E+002, +0.00000000000E+000
+3.72572572573E+004, -1.58472362127E+002, +0.00000000000E+000
