"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -4.08370712908E+001, +0.00000000000E+000
+2.25025025025E+003, -3.47079988829E+001, +0.00000000000E+000
+3.50050050050E+003, -3.66542142402E+001, +0.00000000000E+000
+4.75075075075E+003, -2.61420811651E+001, +0.00000000000E+000
+6.00100100100E+003, -2.92660129809E+001, +0.00000000000E+000
+7.25125125125E+003, -2.57359778568E+001, +0.00000000000E+000
+8.50150150150E+003, -2.55029668621E+001, +0.00000000000E+000
+9.75175175175E+003, -2.45807833082E+001, +0.00000000000E+000
+1.10020020020E+004, -2.26392704604E+001, +0.00000000000E+000
+1.22522522523E+004, -1.87002701466E+001, +0.00000000000E+000
+1.35025025025E+004, -1.40561456507E+001, +0.00000000000E+000
+1.47527527528E+004, -5.87041742010E+000, +0.00000000000E+000
+1.60030030030E+004, +8.01373459225E-001, +0.00000000000E+000
+1.72532532533E+004, -1.10256407696E+001, +0.00000000000E+000
+1.85035035035E+004, -1.37548027305E+001, +0.00000000000E+000
+1.97537537538E+004, +6.34769246273E-001, +0.00000000000E+000
+2.10040040040E+004, -2.89123039410E+001, +0.00000000000E+000
+2.22542542543E+004, -5.52407540041E+001, +0.00000000000E+000
+2.35045045045E+004, -5.44393262431E+001, +0.00000000000E+000
+2.47547547548E+004, -6.79463037862E+001, +0.00000000000E+000
+2.60050050050E+004, -5.43212761592E+001, +0.00000000000E+000
+2.72552552553E+004, -4.68028149207E+001, +0.00000000000E+000
+2.85055055055E+004, -5.35610264108E+001, +0.00000000000E+000
+2.97557557558E+004, -3.78132324691E+001, +0.00000000000E+000
+3.10060060060E+004, -3.48404717319E+001, +0.00000000000E+000
+3.22562562563E+004, -2.77825826092E+001, +0.00000000000E+000
+3.35065065065E+004, -1.85110035129E+001, +0.00000000000E+000
+3.47567567568E+004, -5.93123667449E+000, +0.00000000000E+000
+3.60070070070E+004, +1.06575728990E+001, +0.00000000000E+000
+3.72572572573E+004, -2.31608590719E+000, +0.00000000000E+000
+3.85075075075E+004, -4.21674832073E+000, +0.00000000000E+000
+3.97577577578E+004, -5.68708187270E+000, +0.00000000000E+000
+4.10080080080E+004, -1.49461907505E+001, +0.00000000000E+000
+4.22582582583E+004, -1.72416307683E+000, +0.00000000000E+000
+4.35085085085E+004, -1.26534397364E+000, +0.00000000000E+000
+4.47587587588E+004, -6.58662434767E-001, +0.00000000000E+000
+4.60090090090E+004, +2.19421043235E-001, +0.00000000000E+000
+4.72592592593E+004, +1.22794782484E+000, +0.00000000000E+000
+4.85095095095E+004, +2.36758883144E+000, +0.00000000000E+000
+4.97597597598E+004, +3.53918597209E+000, +0.00000000000E+000
+5.10100100100E+004, +4.80135194274E+000, +0.00000000000E+000
+5.22602602603E+004, +6.14594825787E+000, +0.00000000000E+000
+5.35105105105E+004, +7.55777150014E+000, +0.00000000000E+000
+5.47607607608E+004, +9.08280339344E+000, +0.00000000000E+000
+5.60110110110E+004, +1.07701734871E+001, +0.00000000000E+000
+5.72612612613E+004, +1.29294306750E+001, +0.00000000000E+000
+5.85115115115E+004, +1.44269413623E+001, +0.00000000000E+000
+5.97617617618E+004, +1.68299416252E+001, +0.00000000000E+000
+6.10120120120E+004, +1.97781758623E+001, +0.00000000000E+000
+6.22622622623E+004, +2.37016352781E+001, +0.00000000000E+000
+6.35125125125E+004, +3.01215765293E+001, +0.00000000000E+000
+6.47627627628E+004, +4.69891429292E+001, +0.00000000000E+000
+6.60130130130E+004, +3.07855393366E+001, +0.00000000000E+000
+6.72632632633E+004, +2.52468468327E+001, +0.00000000000E+000
+6.85135135135E+004, +2.21132677346E+001, +0.00000000000E+000
+6.97637637638E+004, +1.99780463013E+001, +0.00000000000E+000
+7.10140140140E+004, +1.83776920878E+001, +0.00000000000E+000
+7.22642642643E+004, +1.71279707249E+001, +0.00000000000E+000
+7.35145145145E+004, +1.61250269150E+001, +0.00000000000E+000
+7.47647647648E+004, +1.52851476668E+001, +0.00000000000E+000
