"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, +9.46096661857E+001, +0.00000000000E+000
+2.25025025025E+003, +1.74076742933E+002, +0.00000000000E+000
+3.50050050050E+003, +7.52424485573E+001, +0.00000000000E+000
+4.75075075075E+003, -5.01341260571E+001, +0.00000000000E+000
+6.00100100100E+003, +7.52269184049E+001, +0.00000000000E+000
+7.25125125125E+003, +7.74936083195E+001, +0.00000000000E+000
+8.50150150150E+003, +5.67742179171E+001, +0.00000000000E+000
+9.75175175175E+003, +4.25742313460E+001, +0.00000000000E+000
+1.10020020020E+004, +2.33573793486E+001, +0.00000000000E+000
+1.22522522523E+004, +1.92217902889E+001, +0.00000000000E+000
+1.35025025025E+004, +6.83898153752E+000, +0.00000000000E+000
+1.47527527528E+004, -3.65439358488E+000, +0.00000000000E+000
+1.60030030030E+004, -1.78732762226E+002, +0.00000000000E+000
+1.72532532533E+004, +1.67006531344E+002, +0.00000000000E+000
+1.85035035035E+004, +1.58975177270E+002, +0.00000000000E+000
+1.97537537538E+004, +1.16427127784E+002, +0.00000000000E+000
+2.10040040040E+004, -9.85488054371E+000, +0.00000000000E+000
+2.22542542543E+004, +3.06184575062E-001, +0.00000000000E+000
+2.35045045045E+004, +7.47143875043E+001, +0.00000000000E+000
+2.47547547548E+004, +1.56515667082E+002, +0.00000000000E+000
+2.60050050050E+004, +1.70206050845E+001, +0.00000000000E+000
+2.72552552553E+004, +5.19051667885E+001, +0.00000000000E+000
+2.85055055055E+004, -1.78967581728E+001, +0.00000000000E+000
+2.97557557558E+004, -3.78808946961E+001, +0.00000000000E+000
+3.10060060060E+004, +1.69764061494E+002, +0.00000000000E+000
+3.22562562563E+004, -5.20418123263E+001, +0.00000000000E+000
+3.35065065065E+004, -8.14495025594E+001, +0.00000000000E+000
+3.47567567568E+004, -7.27980981918E+001, +0.00000000000E+000
+3.60070070070E+004, +1.25656896475E+002, +0.00000000000E+000
+3.72572572573E+004, +1.04615253301E+002, +0.00000000000E+000
+3.85075075075E+004, +1.06080294951E+002, +0.00000000000E+000
+3.97577577578E+004, +1.02417539542E+002, +0.00000000000E+000
+4.10080080080E+004, +1.53559024723E+002, +0.00000000000E+000
+4.22582582583E+004, +1.00502143137E+002, +0.00000000000E+000
+4.35085085085E+004, +9.58408012724E+001, +0.00000000000E+000
+4.47587587588E+004, +9.18485716249E+001, +0.00000000000E+000
+4.60090090090E+004, +8.92701043763E+001, +0.00000000000E+000
+4.72592592593E+004, +8.78172464110E+001, +0.00000000000E+000
+4.85095095095E+004, +8.55956481004E+001, +0.00000000000E+000
+4.97597597598E+004, +8.36715911679E+001, +0.00000000000E+000
+5.10100100100E+004, +8.18170249581E+001, +0.00000000000E+000
+5.22602602603E+004, +7.98946355661E+001, +0.00000000000E+000
+5.35105105105E+004, +7.81903694272E+001, +0.00000000000E+000
+5.47607607608E+004, +7.64894042748E+001, +0.00000000000E+000
+5.60110110110E+004, +7.46761405861E+001, +0.00000000000E+000
+5.72612612613E+004, +6.95896680537E+001, +0.00000000000E+000
+5.85115115115E+004, +7.09571461839E+001, +0.00000000000E+000
+5.97617617618E+004, +6.90913552350E+001, +0.00000000000E+000
+6.10120120120E+004, +6.69561851073E+001, +0.00000000000E+000
+6.22622622623E+004, +6.43684574026E+001, +0.00000000000E+000
+6.35125125125E+004, +5.84612096032E+001, +0.00000000000E+000
+6.47627627628E+004, -2.72241222696E+001, +0.00000000000E+000
+6.60130130130E+004, -1.07268534158E+002, +0.00000000000E+000
+6.72632632633E+004, -1.12489499629E+002, +0.00000000000E+000
+6.85135135135E+004, -1.15110420598E+002, +0.00000000000E+000
+6.97637637638E+004, -1.17028099267E+002, +0.00000000000E+000
+7.10140140140E+004, -1.18679083554E+002, +0.00000000000E+000
+7.22642642643E+004, -1.20031970870E+002, +0.00000000000E+000
+7.35145145145E+004, -1.21323804143E+002, +0.00000000000E+000
+7.47647647648E+004, -1.22639583605E+002, +0.00000000000E+000
+7.60150150150E+004, -1.23867211306E+002, +0.00000000000E+000
+7.72652652653E+004, -1.24913066143E+002, +0.00000000000E+000
+7.85155155155E+004, -1.26055034119E+002, +0.00000000000E+000
+7.97657657658E+004, -1.27111295114E+002, +0.00000000000E+000
+8.10160160160E+004, -1.28042250970E+002, +0.00000000000E+000
+8.22662662663E+004, -1.29028023967E+002, +0.00000000000E+000
+8.35165165165E+004, -1.30038271966E+002, +0.00000000000E+000
+8.47667667668E+004, -1.30907341458E+002, +0.00000000000E+000
+8.60170170170E+004, -1.31906632202E+002, +0.00000000000E+000
+8.72672672673E+004, -1.32823452230E+002, +0.00000000000E+000
+8.85175175175E+004, -1.33677000657E+002, +0.00000000000E+000
+8.97677677678E+004, -1.34614114188E+002, +0.00000000000E+000
+9.10180180180E+004, -1.35510650447E+002, +0.00000000000E+000
+9.22682682683E+004, -1.36320304620E+002, +0.00000000000E+000
+9.35185185185E+004, -1.36987038341E+002, +0.00000000000E+000
+9.47687687688E+004, -1.37851690654E+002, +0.00000000000E+000
+9.60190190190E+004, -1.38615578424E+002, +0.00000000000E+000
+9.72692692693E+004, -1.39388671506E+002, +0.00000000000E+000
+9.85195195195E+004, -1.40162888096E+002, +0.00000000000E+000
+9.97697697698E+004, -1.40916114202E+002, +0.00000000000E+000
+1.01020020020E+005, -1.41610936435E+002, +0.00000000000E+000
+1.02270270270E+005, -1.42325216923E+002, +0.00000000000E+000
+1.03520520521E+005, -1.42985012586E+002, +0.00000000000E+000
+1.04770770771E+005, -1.43667453657E+002, +0.00000000000E+000
+1.06021021021E+005, -1.44308619446E+002, +0.00000000000E+000
+1.07271271271E+005, -1.45049977722E+002, +0.00000000000E+000
+1.08521521522E+005, -1.45604391892E+002, +0.00000000000E+000
+1.09771771772E+005, -1.46285149294E+002, +0.00000000000E+000
+1.11022022022E+005, -1.46918545946E+002, +0.00000000000E+000
+1.12272272272E+005, -1.47485558900E+002, +0.00000000000E+000
+1.13522522523E+005, -1.48110889568E+002, +0.00000000000E+000
+1.14772772773E+005, -1.48614894723E+002, +0.00000000000E+000
+1.16023023023E+005, -1.49227056877E+002, +0.00000000000E+000
+1.17273273273E+005, -1.49790782671E+002, +0.00000000000E+000
+1.18523523524E+005, -1.50330390839E+002, +0.00000000000E+000
