"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -4.33927983816E+001, +0.00000000000E+000
+2.25025025025E+003, -2.79029957601E+001, +0.00000000000E+000
+3.50050050050E+003, -2.86718402747E+001, +0.00000000000E+000
+4.75075075075E+003, -3.35430688128E+001, +0.00000000000E+000
+6.00100100100E+003, -3.64946555705E+001, +0.00000000000E+000
+7.25125125125E+003, -3.75353620147E+001, +0.00000000000E+000
+8.50150150150E+003, -2.82589206874E+001, +0.00000000000E+000
+9.75175175175E+003, -2.40518434408E+001, +0.00000000000E+000
+1.10020020020E+004, -2.30014252821E+001, +0.00000000000E+000
+1.22522522523E+004, -2.00789110510E+001, +0.00000000000E+000
+1.35025025025E+004, -1.54087477274E+001, +0.00000000000E+000
+1.47527527528E+004, -6.47940325404E+000, +0.00000000000E+000
+1.60030030030E+004, -4.99867083201E+000, +0.00000000000E+000
+1.72532532533E+004, -1.46707894218E+001, +0.00000000000E+000
+1.85035035035E+004, -1.76116677097E+001, +0.00000000000E+000
+1.97537537538E+004, +6.62897609251E-001, +0.00000000000E+000
+2.10040040040E+004, -3.63451369413E+001, +0.00000000000E+000
+2.22542542543E+004, -4.68555679913E+001, +0.00000000000E+000
+2.35045045045E+004, -5.79671049711E+001, +0.00000000000E+000
+2.47547547548E+004, -4.78343371717E+001, +0.00000000000E+000
+2.60050050050E+004, -5.37671197608E+001, +0.00000000000E+000
+2.72552552553E+004, -4.26995492165E+001, +0.00000000000E+000
+2.85055055055E+004, -4.23150061674E+001, +0.00000000000E+000
+2.97557557558E+004, -5.37597208845E+001, +0.00000000000E+000
+3.10060060060E+004, -3.08511720648E+001, +0.00000000000E+000
+3.22562562563E+004, -2.81999003191E+001, +0.00000000000E+000
+3.35065065065E+004, -1.85293931455E+001, +0.00000000000E+000
+3.47567567568E+004, -7.64254168994E+000, +0.00000000000E+000
+3.60070070070E+004, +9.07583502480E+000, +0.00000000000E+000
+3.72572572573E+004, -3.34897252025E+000, +0.00000000000E+000
+3.85075075075E+004, -6.04661514996E+000, +0.00000000000E+000
+3.97577577578E+004, -7.07369349993E+000, +0.00000000000E+000
+4.10080080080E+004, -9.18626444543E+000, +0.00000000000E+000
+4.22582582583E+004, -2.13212079055E+000, +0.00000000000E+000
+4.35085085085E+004, -2.29919320439E+000, +0.00000000000E+000
+4.47587587588E+004, -1.94440751658E+000, +0.00000000000E+000
+4.60090090090E+004, -1.10415126366E+000, +0.00000000000E+000
+4.72592592593E+004, +2.22887106655E-002, +0.00000000000E+000
+4.85095095095E+004, +1.22750072970E+000, +0.00000000000E+000
+4.97597597598E+004, +2.54204151294E+000, +0.00000000000E+000
+5.10100100100E+004, +3.88197366840E+000, +0.00000000000E+000
+5.22602602603E+004, +5.37999678882E+000, +0.00000000000E+000
+5.35105105105E+004, +6.95445783418E+000, +0.00000000000E+000
+5.47607607608E+004, +8.68530792226E+000, +0.00000000000E+000
+5.60110110110E+004, +1.06088684265E+001, +0.00000000000E+000
+5.72612612613E+004, +1.24143162419E+001, +0.00000000000E+000
+5.85115115115E+004, +1.58359837284E+001, +0.00000000000E+000
+5.97617617618E+004, +1.93523497081E+001, +0.00000000000E+000
+6.10120120120E+004, +2.47243806503E+001, +0.00000000000E+000
+6.22622622623E+004, +3.73916941920E+001, +0.00000000000E+000
+6.35125125125E+004, +3.04256185541E+001, +0.00000000000E+000
+6.47627627628E+004, +2.33993814370E+001, +0.00000000000E+000
+6.60130130130E+004, +1.98124067876E+001, +0.00000000000E+000
+6.72632632633E+004, +1.74441504824E+001, +0.00000000000E+000
+6.85135135135E+004, +1.57322443304E+001, +0.00000000000E+000
+6.97637637638E+004, +1.43974888904E+001, +0.00000000000E+000
+7.10140140140E+004, +1.33468650131E+001, +0.00000000000E+000
+7.22642642643E+004, +1.24495447481E+001, +0.00000000000E+000
+7.35145145145E+004, +1.17068356434E+001, +0.00000000000E+000
+7.47647647648E+004, +1.10843085402E+001, +0.00000000000E+000
+7.60150150150E+004, +1.05330026293E+001, +0.00000000000E+000
+7.72652652653E+004, +1.00437114900E+001, +0.00000000000E+000
+7.85155155155E+004, +9.62489487409E+000, +0.00000000000E+000
+7.97657657658E+004, +9.25099681267E+000, +0.00000000000E+000
+8.10160160160E+004, +8.90436352036E+000, +0.00000000000E+000
+8.22662662663E+004, +8.60171522068E+000, +0.00000000000E+000
+8.35165165165E+004, +8.31030628184E+000, +0.00000000000E+000
+8.47667667668E+004, +8.06382634761E+000, +0.00000000000E+000
+8.60170170170E+004, +7.83520084966E+000, +0.00000000000E+000
+8.72672672673E+004, +7.63039475556E+000, +0.00000000000E+000
+8.85175175175E+004, +7.43969565960E+000, +0.00000000000E+000
+8.97677677678E+004, +7.24888265967E+000, +0.00000000000E+000
+9.10180180180E+004, +7.09539504322E+000, +0.00000000000E+000
+9.22682682683E+004, +6.94013937711E+000, +0.00000000000E+000
+9.35185185185E+004, +6.79792604217E+000, +0.00000000000E+000
+9.47687687688E+004, +6.66448103806E+000, +0.00000000000E+000
+9.60190190190E+004, +6.54522291744E+000, +0.00000000000E+000
+9.72692692693E+004, +6.43866994733E+000, +0.00000000000E+000
+9.85195195195E+004, +6.31753467839E+000, +0.00000000000E+000
+9.97697697698E+004, +6.23432347603E+000, +0.00000000000E+000
+1.01020020020E+005, +6.14197214259E+000, +0.00000000000E+000
+1.02270270270E+005, +6.04189631897E+000, +0.00000000000E+000
+1.03520520521E+005, +5.96458146832E+000, +0.00000000000E+000
+1.04770770771E+005, +5.88145624248E+000, +0.00000000000E+000
+1.06021021021E+005, +5.81710627549E+000, +0.00000000000E+000
+1.07271271271E+005, +5.74287703072E+000, +0.00000000000E+000
+1.08521521522E+005, +5.67878642614E+000, +0.00000000000E+000
+1.09771771772E+005, +5.61823594725E+000, +0.00000000000E+000
+1.11022022022E+005, +5.55815665348E+000, +0.00000000000E+000
+1.12272272272E+005, +5.49948778628E+000, +0.00000000000E+000
