"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.00000000000E+003, -1.30214839781E+002, +0.00000000000E+000
+2.25025025025E+003, +9.55804886358E+001, +0.00000000000E+000
+3.50050050050E+003, +7.33092894650E+001, +0.00000000000E+000
+4.75075075075E+003, +8.37714567740E+001, +0.00000000000E+000
+6.00100100100E+003, -9.19169776633E+001, +0.00000000000E+000
+7.25125125125E+003, -5.18281711785E+001, +0.00000000000E+000
+8.50150150150E+003, -1.29503784690E+002, +0.00000000000E+000
+9.75175175175E+003, -1.33773148392E+002, +0.00000000000E+000
+1.10020020020E+004, -1.58948484170E+002, +0.00000000000E+000
+1.22522522523E+004, -1.60834207048E+002, +0.00000000000E+000
+1.35025025025E+004, -1.69560507707E+002, +0.00000000000E+000
+1.47527527528E+004, +1.75829362661E+002, +0.00000000000E+000
+1.60030030030E+004, -1.10422016272E-001, +0.00000000000E+000
+1.72532532533E+004, -1.30943358867E+001, +0.00000000000E+000
+1.85035035035E+004, -1.99684265604E+001, +0.00000000000E+000
+1.97537537538E+004, -1.31076528497E+002, +0.00000000000E+000
+2.10040040040E+004, +1.78744480870E+002, +0.00000000000E+000
+2.22542542543E+004, -1.51337305638E+002, +0.00000000000E+000
+2.35045045045E+004, -1.37971323579E+002, +0.00000000000E+000
+2.47547547548E+004, +3.35356511077E+000, +0.00000000000E+000
+2.60050050050E+004, +6.06404256524E+001, +0.00000000000E+000
+2.72552552553E+004, +3.67341407505E+000, +0.00000000000E+000
+2.85055055055E+004, +5.99611458555E+001, +0.00000000000E+000
+2.97557557558E+004, +1.05075673907E+002, +0.00000000000E+000
+3.10060060060E+004, +9.59713092280E+001, +0.00000000000E+000
+3.22562562563E+004, +1.24803836637E+002, +0.00000000000E+000
+3.35065065065E+004, +1.06664150240E+002, +0.00000000000E+000
+3.47567567568E+004, +1.09716117626E+002, +0.00000000000E+000
+3.60070070070E+004, -5.47460583380E+001, +0.00000000000E+000
+3.72572572573E+004, -7.53750330492E+001, +0.00000000000E+000
+3.85075075075E+004, -8.26925910505E+001, +0.00000000000E+000
+3.97577577578E+004, -7.67937446100E+001, +0.00000000000E+000
+4.10080080080E+004, -5.97878863348E+001, +0.00000000000E+000
+4.22582582583E+004, -8.13039051049E+001, +0.00000000000E+000
+4.35085085085E+004, -8.75037134389E+001, +0.00000000000E+000
+4.47587587588E+004, -8.88420879207E+001, +0.00000000000E+000
+4.60090090090E+004, -9.09235685635E+001, +0.00000000000E+000
+4.72592592593E+004, -9.30041799935E+001, +0.00000000000E+000
+4.85095095095E+004, -9.49338338470E+001, +0.00000000000E+000
+4.97597597598E+004, -9.70720767972E+001, +0.00000000000E+000
+5.10100100100E+004, -9.90502027642E+001, +0.00000000000E+000
+5.22602602603E+004, -1.00795917405E+002, +0.00000000000E+000
+5.35105105105E+004, -1.02721615026E+002, +0.00000000000E+000
+5.47607607608E+004, -1.04518384761E+002, +0.00000000000E+000
+5.60110110110E+004, -1.06585803320E+002, +0.00000000000E+000
+5.72612612613E+004, -1.04126175196E+002, +0.00000000000E+000
+5.85115115115E+004, -1.10017872869E+002, +0.00000000000E+000
+5.97617617618E+004, -1.12680120359E+002, +0.00000000000E+000
+6.10120120120E+004, -1.17053076244E+002, +0.00000000000E+000
+6.22622622623E+004, -1.38860687710E+002, +0.00000000000E+000
+6.35125125125E+004, +7.70082119953E+001, +0.00000000000E+000
+6.47627627628E+004, +7.04467432135E+001, +0.00000000000E+000
+6.60130130130E+004, +6.67797230562E+001, +0.00000000000E+000
+6.72632632633E+004, +6.46160005201E+001, +0.00000000000E+000
+6.85135135135E+004, +6.29055466213E+001, +0.00000000000E+000
+6.97637637638E+004, +6.14482436409E+001, +0.00000000000E+000
+7.10140140140E+004, +6.00885828438E+001, +0.00000000000E+000
+7.22642642643E+004, +5.87625401179E+001, +0.00000000000E+000
+7.35145145145E+004, +5.75341531405E+001, +0.00000000000E+000
+7.47647647648E+004, +5.63781059536E+001, +0.00000000000E+000
+7.60150150150E+004, +5.51776100821E+001, +0.00000000000E+000
+7.72652652653E+004, +5.41645443810E+001, +0.00000000000E+000
+7.85155155155E+004, +5.30734900376E+001, +0.00000000000E+000
+7.97657657658E+004, +5.19942228365E+001, +0.00000000000E+000
+8.10160160160E+004, +5.09642982953E+001, +0.00000000000E+000
+8.22662662663E+004, +5.00365959554E+001, +0.00000000000E+000
+8.35165165165E+004, +4.89591021264E+001, +0.00000000000E+000
+8.47667667668E+004, +4.80885499141E+001, +0.00000000000E+000
+8.60170170170E+004, +4.71439037112E+001, +0.00000000000E+000
+8.72672672673E+004, +4.62823832759E+001, +0.00000000000E+000
+8.85175175175E+004, +4.53565014572E+001, +0.00000000000E+000
+8.97677677678E+004, +4.45132586679E+001, +0.00000000000E+000
+9.10180180180E+004, +4.37559468560E+001, +0.00000000000E+000
+9.22682682683E+004, +4.28772587640E+001, +0.00000000000E+000
+9.35185185185E+004, +4.20845785179E+001, +0.00000000000E+000
+9.47687687688E+004, +4.12991138856E+001, +0.00000000000E+000
+9.60190190190E+004, +4.05190005053E+001, +0.00000000000E+000
