frequency,amplitude,phase
1e3,1,0
2250.25025025,15141201940421079e-21,-0.9464909854785677
3500.5005005000003,9111651217451668e-21,2.1271813444753214
4750.75075075,11008763372902929e-21,-2.5454649562133875
6001.0010010000005,4719907615897209e-21,-2.951058785464177
7251.251251250001,12341662400691475e-21,-1.9100721046636924
8501.5015015,31353619576543216e-22,-0.28847140567877466
9751.751751750002,5864140848661415e-21,-1.2354852843033053
11002.002002000001,13200505799026539e-21,-1.1533094119456397
12252.25225225,27690561448030893e-21,-1.276609996366294
13502.502502500001,8966152560138458e-20,2.793403303259986
14752.752752750002,1770102308744005e-20,2.2506579421553408
16003.003003000002,12343899384338285e-21,2.1394008907150255
17253.25325325,12551483106340943e-21,2.1509876837064428
18503.503503500004,21233402027310698e-21,2.0401847737477707
19753.753753750003,5153970406964317e-21,-0.9290860019461888
21004.004004000002,1367673475935957e-21,-1.2919347376659478
22254.25425425,6440455466563702e-22,0.6207929731504672
23504.5045045,12378722762952982e-22,-1.4155499290690567
24754.754754750003,3836362403780139e-22,-1.1089989169113532
26005.005005000003,4847215138050095e-22,-0.5193124455023111
27255.255255250002,14091088908270578e-23,-1.4193454577196505
28505.505505500005,8090188013155297e-22,-2.9501766809701024
29755.755755750004,8217145629681995e-22,-1.0906325079132924
31006.006006000003,8378736173857743e-22,-1.5543021520558267
32256.256256250002,4549459401234469e-21,-1.4703671701589152
33506.5065065,12458674840867258e-21,-1.4159011923029465
34756.75675675,418949372993336e-19,-1.6107070214120782
36007.00700700001,0.0004052856978007141,-2.454573112654632
37257.25725725001,0.00016689364992032805,1.7935083694364744
38507.507507500006,0.00013877810729392967,1.650471299672396
39757.757757750005,0.00016022539438690373,1.5449079582971554
41008.008008000004,0.00023190717233756563,1.448904438536262
42258.25825825,0.00042813960227141526,1.2476903010644496
43508.5085085,0.0012403027773967546,0.27389143517659753
44758.75875875,0.0005926073469287148,-1.163656043375353
46009.009009,0.00031945775566667175,-1.4233130939230831
47259.25925925001,0.0002275567627502117,-1.5279563876936308
48509.50950950001,0.00018250669958359833,-1.5953554218465438
49759.759759750006,0.00015642280240477956,-1.6535462938757606
51010.010010000005,0.00013964008582532684,-1.6957111094979722
52260.260260250005,0.00012852697137250244,-1.7350773220376234
53510.510510500004,0.00012004573437053764,-1.7720282660637816
54760.76076075,0.00011401948426442048,-1.8126328203327187
56011.01101100001,0.00010945403183998818,-1.8433505698238157
57261.26126125001,0.00010555761301472438,-1.879944089270938
58511.51151150001,0.00010304998590245562,-1.9082693763004903
59761.76176175001,0.00010070758199346371,-1.9382642823315286
61012.01201200001,9920646765885087e-20,-1.965210896530005
62262.262262250006,9781421445586174e-20,-2.0014351025533497
63512.512512500005,9677065825164603e-20,-2.0243483154295303
64762.762762750004,9547099613113959e-20,-2.0683619845374652
66013.013013,9485049750993725e-20,-2.0834173511058363
67263.26326325,9441501219904872e-20,-2.1120659644176634
68513.5135135,9447939013938404e-20,-2.1401270658997174
69763.76376375,939579033975274e-19,-2.165237738813967
71014.01401400001,9361901748872531e-20,-2.1896040717235534
72264.26426425001,9376738754441385e-20,-2.222276592215618
73514.51451450001,9310802537138353e-20,-2.2446079318262058
74764.76476475001,9362354388395268e-20,-2.269432890746177
76015.01501500001,9346872878676617e-20,-2.2945743042042324
77265.26526525001,9320411999399124e-20,-2.3168563246566904
78515.51551550001,9325946784066936e-20,-2.3404189138830356
79765.76576575001,9328407173563258e-20,-2.367879951797892
81016.01601600001,9357390696303371e-20,-2.3890727899913706
82266.26626625001,9349566351991105e-20,-2.413686244001853
83516.5165165,9379297667436343e-20,-2.433513947069766
84766.76676675,93909476037181e-18,-2.456271000780019
86017.017017,9395914919070859e-20,-2.4795923654317535
87267.26726725,9394033685075428e-20,-2.4978796327923583
88517.5175175,9407384901178348e-20,-2.521233440992393
89767.76776775,9420305209631159e-20,-2.5426582001919726
91018.018018,9436189436613374e-20,-2.563285292516463
92268.26826825002,9438845260137307e-20,-2.5813765410094405
93518.51851850002,9454952397742101e-20,-2.60179832504072
94768.76876875001,9479472514708585e-20,-2.6249545362984286
96019.01901900001,9480335367455571e-20,-2.6416168590079403
97269.26926925001,9508976862132495e-20,-2.661968579584562
98519.51951950001,9496911512724143e-20,-2.679597383631104
99769.76976975001,950632342455922e-19,-2.700491829303785
101020.02002000001,953706348169364e-19,-2.720610307327054
102270.27027025001,951682313505302e-19,-2.7359153548353046
103520.52052050001,9539545919948303e-20,-2.7531777932730988
104770.77077075001,9539268255427589e-20,-2.771297183925476
106021.02102100001,9562683071607455e-20,-2.7898144087309737
107271.27127125,9567429731960961e-20,-2.805708939655404
108521.5215215,9568925835732823e-20,-2.8220554705541785
109771.77177175,957003114363739e-19,-2.841053770658141
111022.02202200002,9576098119227152e-20,-2.8564569179312924
112272.27227225002,9582077523612296e-20,-2.873703744123863
113522.52252250002,9589971480958274e-20,-2.8877569672260317
114772.77277275002,9592369351931741e-20,-2.9034605830709745
116023.02302300002,9608233970338941e-20,-2.919652649007667
117273.27327325002,961476159667067e-19,-2.935936715809951
118523.52352350001,9603343499153366e-20,-2.9500163783379008
119773.77377375001,9614606158773574e-20,-2.96544717762126
121024.02402400001,9613503035435214e-20,-2.9790045802303413
122274.27427425001,9614778618747142e-20,-2.993516420214474
123524.52452450001,9610865512773621e-20,-3.0085100328531476
124774.77477475001,9622024577186295e-20,-3.021566455913405
126025.02502500001,9620555389589588e-20,-3.0363731860420398
127275.27527525001,9607905020483004e-20,-3.050419826468081
128525.52552550001,9626447477598522e-20,-3.0639923046275315
129775.77577575001,9620823149774962e-20,-3.0772058770598103
131026.026026,9628995450354897e-20,-3.0897700516649507
132276.27627625002,9622984860075748e-20,-3.103003485256109
133526.5265265,9636669234843125e-20,-3.117290046481497
