frequency,amplitude,phase
1e4,8117234421959404e-22,2.4269885353117386
10931.832,26663345455840255e-22,1.6807241444025076
11863.664,1304829340006592e-21,2.7528799039026244
12795.496000000001,13169140436845007e-22,-1.4183487979502003
13727.328000000001,15443581142962835e-22,-1.05489096253939
14659.160000000002,3927547481364904e-21,-1.5349298106664133
15590.992000000002,5066951927527654e-20,1.666495522208549
16522.824,2781072000760335e-21,-0.7086745366773287
17454.656000000003,10707071914908568e-22,-1.110615136765363
18386.488000000005,6746945642778361e-22,0.327612542486032
19318.320000000003,1432681466353465e-21,-1.1177622600522796
20250.152000000002,3000486762945481e-22,2.8476188191618292
21181.984000000004,12438810460615434e-24,-2.006540114769707
22113.816000000006,5248217179027696e-22,1.5063343362017385
23045.648000000005,15021352966221765e-24,1.314672749723233
23977.480000000003,41215629967841965e-25,2.231232406408055
24909.312000000005,1267983935480459e-23,-1.0362976209520427
25841.144000000008,17543903690078103e-24,2.241795488106975
26772.976000000006,356095369330884e-22,-0.24187470905838307
27704.808000000005,5699179271446561e-23,0.6434016661136932
28636.640000000007,12198372947545154e-23,-1.9532042490921613
29568.47200000001,28386515718844447e-23,1.464243975960643
30500.304000000007,5924098790063115e-22,-1.1474251778874744
31432.136000000006,4755914835928634e-22,-1.798147453015733
32363.968000000008,7230106666110184e-22,0.2429270727841647
33295.80000000001,9693452885156528e-22,-1.3354770744070052
34227.63200000001,9535261491608008e-22,-2.353136673342851
35159.46400000001,7298602420185981e-21,-1.2627949321028036
36091.29600000001,2938941751342686e-21,2.5663879826685263
37023.12800000001,19945611279714672e-22,-2.927950390511671
37954.96000000001,22840673881149417e-22,-2.1323633440069303
38886.79200000001,12571839769998975e-22,-2.238454927918658
39818.62400000001,5536128963573174e-22,-2.4280929796624013
40750.45600000001,112013528224164e-20,-2.5934559449718555
41682.288000000015,652241462220111e-21,-3.0791039322489393
42614.12000000001,185050993549716e-20,1.875851954775473
43545.95200000001,2625153236080461e-21,-2.8185713044208875
44477.784000000014,2632463149806521e-21,2.8930898821640376
45409.61600000001,18970361877590011e-22,-3.0488528384558222
46341.44800000001,2413347428722359e-21,3.108639441048739
47273.28000000001,27288816754383844e-22,-2.591545856638473
48205.112000000016,30901698291630613e-22,-2.6634768092326158
49136.94400000002,32720414409070496e-22,-2.659446843989761
50068.77600000001,3912947007138408e-21,-2.783350909181492
51000.608000000015,4816533553540979e-21,-2.787991739662545
51932.44000000002,56197786469867195e-22,-2.8489749399906286
52864.27200000001,6978814980363505e-21,-2.8914105263577685
53796.104000000014,905939322008953e-20,-2.8618868857968827
54727.936000000016,1281294223044236e-20,-2.9382111811841463
55659.76800000002,20027468085122346e-21,-3.0036236780879406
56591.60000000002,4650187475043477e-20,3.0666960375306616
57523.432000000015,0.00014086615096273622,-1.5528124541823474
58455.26400000002,3168617424529439e-20,-2.613407152717254
59387.09600000002,1815046876173595e-20,-2.7185004082968405
60318.928000000014,1273528952251373e-20,-2.797588607087561
61250.76000000002,1010302553334284e-20,-2.8271178327020534
62182.59200000002,835877458637858e-20,-2.8289972032406006
63114.42400000002,7168846924212673e-21,-2.8513576634854516
64046.25600000002,6315201111146351e-21,-2.8709755133437174
64978.08800000002,5728329705333324e-21,-2.8856303449410143
65909.92000000001,51745566482142644e-22,-2.9017219315785505
66841.75200000002,4788027186810717e-21,-2.916510106330699
67773.58400000002,4458820360311e-18,-2.9256765755621736
68705.41600000003,419066029015365e-20,-2.931626053916371
69637.24800000002,3964394204648385e-21,-2.947382537337526
70569.08000000002,37777218034779043e-22,-2.9580444046721093
71500.91200000003,35968915960617528e-22,-2.965295549582445
72432.74400000002,34514929799576457e-22,-2.9770667481895954
73364.57600000003,33240574153158915e-22,-2.988195316566162
74296.40800000002,32023154676341085e-22,-2.9916531628802123
75228.24000000002,30981256353450524e-22,-3.001710099096054
76160.07200000003,3012718697355463e-21,-3.008099051355905
77091.90400000002,29172265583554216e-22,-3.021610343227294
78023.73600000002,28444950688008035e-22,-3.023866006752571
78955.56800000003,27749500283051746e-22,-3.0324575645284386
79887.40000000002,27159992041951907e-22,-3.044275887025393
80819.23200000002,2655007229570021e-21,-3.0498330153637427
81751.06400000003,25978406921465504e-22,-3.058176387319976
82682.89600000002,2549577665278797e-21,-3.0621208314294837
83614.72800000003,25011753852639675e-22,-3.0703898523595825
84546.56000000003,24576270706942648e-22,-3.0792610118816195
85478.39200000002,24209904821576834e-22,-3.0830417441072897
86410.22400000003,2383783429880336e-21,-3.0877038676052164
87342.05600000003,23456273315490143e-22,-3.097834805781343
88273.88800000004,23148276999302023e-22,-3.1027419735062503
89205.72000000003,22818611798338866e-22,-3.1092907979255835
90137.55200000003,22561977689905915e-22,-3.1162543125751903
91069.38400000003,22281069189038365e-22,-3.1248828713311996
92001.21600000003,22058443060410723e-22,-3.13350340157265
92933.04800000002,2168828659612268e-21,-3.141148990893937
93864.88000000003,215312524266895e-20,3.137521498576591
94796.71200000003,21314671770687754e-22,3.13485114482104
95728.54400000002,2111091084074293e-21,3.1291645130521926
96660.37600000003,2093121515792601e-21,3.1234241251423827
97592.20800000003,20720621604084804e-22,3.120021780298545
