frequency,amplitude,phase
1e3,1,0
2250.25025025,60779276224265754e-22,0.15359704874755348
3500.5005005000003,20955708041956e-19,-1.450421413291447
4750.75075075,4023819349438281e-21,2.7550615424990843
6001.0010010000005,18679710367079297e-22,-1.2408136699312604
7251.251251250001,2048281019474566e-21,-1.113136259485528
8501.5015015,16354556962841159e-22,-1.3969212474755672
9751.751751750002,14778895599656728e-22,-1.576436441212508
11002.002002000001,1551437289030776e-21,-1.851632317085002
12252.25225225,210109414373076e-20,-1.8708714960606248
13502.502502500001,31462083525231363e-22,-2.040409246762874
14752.752752750002,7191093334511757e-21,-2.182208602122808
16003.003003000002,13976159694614418e-21,1.081981022325478
17253.25325325,3261360234683836e-21,0.865834223822243
18503.503503500004,2187436587923406e-21,0.7550025614665525
19753.753753750003,10604127642192187e-21,0.038773873344244265
21004.004004000002,32871099392211764e-23,-2.141334530149753
22254.25425425,14834043943175625e-24,-1.9425304470571902
23504.5045045,1528139744051068e-23,-0.6240204093869838
24754.754754750003,30435915876455037e-25,0.8218382100944877
26005.005005000003,13824632072283929e-24,-1.5960889777478193
27255.255255250002,31184416059622136e-24,-0.9716610584604825
28505.505505500005,13628674283221718e-24,-2.17458697388961
29755.755755750004,7984269120250297e-23,-2.506628020498569
31006.006006000003,10838586336437215e-23,1.1337894991090471
32256.256256250002,23683161377499696e-23,-2.747225066651897
33506.5065065,6500919675370659e-22,3.030941386570162
34756.75675675,2662270183367433e-21,-3.0855062321376465
36007.00700700001,17269954459815765e-21,0.38715852928984185
37257.25725725001,3735791985955473e-21,0.027602890588806522
38507.507507500006,289842801357267e-20,0.061822832009663396
39757.757757750005,2367851699281531e-21,0.005669245071110954
41008.008008000004,7892794848236412e-22,0.9042805911047933
42258.25825825,3503990994571499e-21,-0.014921179218877529
43508.5085085,3583402434405575e-21,-0.09001898949681544
44758.75875875,3733988845805896e-21,-0.15430559673913374
46009.009009,4013229035370473e-21,-0.19414358770806414
47259.25925925001,4382818347626241e-21,-0.2145204354640742
48509.50950950001,4864112690160869e-21,-0.24863955443100705
49759.759759750006,5422184431482702e-21,-0.277636457247743
51010.010010000005,6111837418811666e-21,-0.30574945365443673
52260.260260250005,6960085295406222e-21,-0.33514862466799106
53510.510510500004,7991624050759753e-21,-0.360953645949749
54760.76076075,930267121162813e-20,-0.3869835330406381
56011.01101100001,11038586346212886e-21,-0.41515698196197465
57261.26126125001,13836845938058778e-21,-0.5005589047690945
58511.51151150001,16081263695089264e-21,-0.4734874025422012
59761.76176175001,20753309576383547e-21,-0.5029363787112878
61012.01201200001,2853142392832888e-20,-0.5372835690779123
62262.262262250006,43903038921308474e-21,-0.5795769958685664
63512.512512500005,900931617270672e-19,-0.6799831876802418
64762.762762750004,0.000615813732908353,-2.17286593716687
66013.013013,9349834144078625e-20,2.7158048334830838
67263.26326325,4848355080809941e-20,2.627076413060612
68513.5135135,3317226860001177e-20,2.583689007600104
69763.76376375,25470106606322882e-21,2.5524523646984854
71014.01401400001,208054366916571e-19,2.5257982727390362
72264.26426425001,1770081423763509e-20,2.504247772561828
73514.51451450001,1549901304569739e-20,2.483681144105521
74764.76476475001,13831743385352907e-21,2.4626634280113535
76015.01501500001,1252858204854756e-20,2.4431247028268155
77265.26526525001,11472914736522922e-21,2.4266931323333027
78515.51551550001,10596487059463641e-21,2.4084624195976203
79765.76576575001,9869110363786103e-21,2.3917563720107915
81016.01601600001,9281373777135207e-21,2.3771301907368523
82266.26626625001,8745585203219798e-21,2.3614564633232136
83516.5165165,8287287159453734e-21,2.3454161582040527
84766.76676675,788184360578033e-20,2.331746399706899
86017.017017,7523255607710139e-21,2.3157978988924306
87267.26726725,7223879948258854e-21,2.301182388060629
88517.5175175,692307438804047e-20,2.287593421797551
89767.76776775,66740597771633785e-22,2.2726227952713134
91018.018018,6427844389788564e-21,2.258274201943732
92268.26826825002,6207012692082262e-21,2.245345831628064
93518.51851850002,6015705753149804e-21,2.2348983052516522
94768.76876875001,5823672642520191e-21,2.2209471918559873
96019.01901900001,56666072761852315e-22,2.2088507532242074
97269.26926925001,5504314762233077e-21,2.196482836953722
98519.51951950001,53589350380649106e-22,2.1840652710217054
99769.76976975001,5221539908823841e-21,2.172029287998688
101020.02002000001,5089909843036044e-21,2.160920244874234
102270.27027025001,4971413211116661e-21,2.1494897324903257
103520.52052050001,484944075807318e-20,2.1389550702443536
104770.77077075001,474197940457587e-20,2.128078515377207
106021.02102100001,4646087640671852e-21,2.1178103071383148
107271.27127125,4549560454672807e-21,2.1057640782140283
108521.5215215,4454769305512764e-21,2.0970320996262206
109771.77177175,4368724801412118e-21,2.085987725526458
111022.02202200002,42841832783499535e-22,2.0758040589976385
112272.27227225002,4211069120537264e-21,2.0667261064878684
113522.52252250002,4135117277829279e-21,2.056679761633121
114772.77277275002,4056490713912423e-21,2.0487314527981564
116023.02302300002,3993719516929807e-21,2.038808576516489
117273.27327325002,3928166967261822e-21,2.02972530022803
118523.52352350001,3861069089587639e-21,2.021049764847514
119773.77377375001,38042014487991033e-22,2.010631178258362
121024.02402400001,37439309926055214e-22,2.0017974276267916
122274.27427425001,3690736502044869e-21,1.9928346885014296
123524.52452450001,36305748295983484e-22,1.9848054756246774
124774.77477475001,35821696132437638e-22,1.9764179275404372
126025.02502500001,35271682295285525e-22,1.9682325737317348
127275.27527525001,348290454639408e-20,1.95991266400887
128525.52552550001,3435929429070856e-21,1.9510426486519108
129775.77577575001,33903213828219144e-22,1.94302295801213
131026.026026,3346452552063031e-21,1.9353731876265134
132276.27627625002,33021400445774623e-22,1.927345605772339
133526.5265265,32614642068455858e-22,1.9188230686846202
134776.77677675002,32200160890603006e-22,1.9117963050102023
136027.027027,3184429772202905e-21,1.9049325917667128
137277.27727725002,31447977795313527e-22,1.8983200520140506
138527.5275275,31099919772368566e-22,1.8901882053644448
139777.77777775002,3071433083554614e-21,1.883999331976152
141028.02802800003,3036510555589312e-21,1.8767742148068243
142278.27827825,30045002081770135e-22,1.8695983585772025
143528.52852850003,2971572849079459e-21,1.8623206652726754
144778.77877875,2938695491803267e-21,1.855161515426458
146029.02902900003,2908837522500312e-21,1.848419915104888
147279.27927925,2877662999511179e-21,1.8412586640382835
148529.52952950003,2843543780174817e-21,1.835003804822551
149779.77977975,2813026953480939e-21,1.8289447281912476
151030.03003000002,2784794921170764e-21,1.821715466266023
152280.28028025,275816524020988e-20,1.8155042699164075
153530.53053050002,27322497758002396e-22,1.8104730783871226
154780.78078075,27061837174034745e-22,1.8018493163844231
156031.03103100002,26816315466782296e-22,1.7965741698352609
157281.28128125,2658306005873554e-21,1.7903205530791053
158531.53153150002,2633553801175705e-21,1.7838800407829816
159781.78178175,26113434351312613e-22,1.7777313995976467
161032.03203200002,2587937634988987e-21,1.7717155817726828
162282.28228225003,25662734361977882e-22,1.7659974803984761
163532.53253250002,25438803789891597e-22,1.759228089576218
164782.78278275003,25210425119276305e-22,1.7539395533033006
166033.033033,24996150921226003e-22,1.7480182809601512
167283.28328325003,24795977673257447e-22,1.7420527255888003
168533.5335335,24596276100435618e-22,1.7364396217552696
169783.78378375003,24409069307650628e-22,1.7305471729592303
171034.034034,24223670634713937e-22,1.7248137785409734
172284.28428425002,2402820836416282e-21,1.718877173686992
173534.5345345,23835783810133867e-22,1.7138217883641715
174784.78478475002,23651627957652084e-22,1.7080742365680601
176035.035035,234800157239963e-20,1.7030378035816813
177285.28528525002,2332162753004235e-21,1.6981821503727659
178535.5355355,23141301760210024e-22,1.6921692324071183
