frequency,amplitude,phase
1e4,13797092894645269e-22,-1.3746251585950884
10931.832,4232267793248616e-22,0.042508017531097494
11863.664,5815569009248996e-22,-1.4936405565519835
12795.496000000001,8683792332933885e-22,-1.225774753338752
13727.328000000001,11632779987181058e-22,-1.415958045940818
14659.160000000002,2309183491651421e-21,-1.3715488412555232
15590.992000000002,27469818122022094e-21,2.0618900904040522
16522.824,15176556138397545e-22,-1.7842954728743552
17454.656000000003,7274208074850627e-22,-0.4199052740788123
18386.488000000005,5052295121795454e-22,-2.4152948293233765
19318.320000000003,2278818008028918e-21,-2.3275885437521575
20250.152000000002,23075451917776056e-23,-2.7227810028202812
21181.984000000004,30289621764509266e-25,-2.6900864480743727
22113.816000000006,48402444816173494e-24,-2.01553938145884
23045.648000000005,7117517622922078e-23,2.382198848849509
23977.480000000003,28612344293303117e-24,-1.774946442203122
24909.312000000005,18652701976971172e-24,1.1944125829438152
25841.144000000008,9718488711578836e-24,1.302712357425166
26772.976000000006,13009147149996255e-24,-0.8889956718080758
27704.808000000005,13617544972045012e-23,1.9044613918741644
28636.640000000007,23173914865133577e-23,-3.066952251864854
29568.47200000001,11629702057929006e-23,-1.1602222810289473
30500.304000000007,15802044926221564e-23,0.8847981549570296
31432.136000000006,2078098214033312e-22,-1.0391051575868009
32363.968000000008,599175027536184e-21,-1.2460827063832571
33295.80000000001,10975909153478968e-22,-2.3421236457627668
34227.63200000001,11338225951314796e-22,-0.42206494449522947
35159.46400000001,10573084589879864e-22,3.1000314771779025
36091.29600000001,11363352488899073e-21,1.694592530638855
37023.12800000001,2793973938567927e-21,2.01971385996376
37954.96000000001,17113502908441451e-22,-2.136754243339097
38886.79200000001,13265369063123296e-22,1.9317195950659616
39818.62400000001,1334323695284506e-21,2.3727203147477782
40750.45600000001,8448098657488458e-22,-0.9470449736635568
41682.288000000015,13165274021822742e-22,-2.198573805444737
42614.12000000001,17843864684349644e-22,2.8281559545411397
43545.95200000001,8208327186449726e-22,-2.9433075425999693
44477.784000000014,7617032357239695e-22,-2.410900090266855
45409.61600000001,11271718016816884e-22,-2.8492569851977514
46341.44800000001,10304854118262373e-22,-2.6614665390001697
47273.28000000001,11166413474098996e-22,-2.77833378571371
48205.112000000016,13060185575448672e-22,-2.5433007673231454
49136.94400000002,12767453812861404e-22,-2.7568871798652035
50068.77600000001,14953675990308445e-22,-2.7476474068051457
51000.608000000015,16297822743475164e-22,-2.8836916332078983
51932.44000000002,18321465529278413e-22,-2.8012461190680407
52864.27200000001,19954331581953772e-22,-2.8860520164882955
53796.104000000014,23097321020714526e-22,-2.8621375150774697
54727.936000000016,251996128169157e-20,-2.849258730527003
55659.76800000002,2857860647849212e-21,-2.8610494768217762
56591.60000000002,3258580558537724e-21,-2.910415765648585
57523.432000000015,3840932261795712e-21,-2.874418349826202
58455.26400000002,4504377766155428e-21,-2.917651202595653
59387.09600000002,5484345996914757e-21,-2.9315956851873874
60318.928000000014,6793104924020845e-21,-2.9581773987611113
61250.76000000002,8837927825199615e-21,-2.99248184520906
62182.59200000002,1246640160682882e-20,-3.0408752875108074
63114.42400000002,202261073082748e-19,-3.1310815827025826
64046.25600000002,4815486675100417e-20,2.826341161184916
64978.08800000002,0.00010584650117261841,-1.678254852576786
65909.92000000001,28755580926010606e-21,-2.6262670877117977
66841.75200000002,16784121229047797e-21,-2.758610517968622
67773.58400000002,11943234940465043e-21,-2.8237029214876013
68705.41600000003,9376590654295178e-21,-2.860792215290031
69637.24800000002,7803830584237623e-21,-2.8862282947427462
70569.08000000002,6707110674646399e-21,-2.9069942221829757
71500.91200000003,59218356363499244e-22,-2.9240516740285663
72432.74400000002,5325170217245445e-21,-2.9407296912947736
73364.57600000003,4856171508560292e-21,-2.951067276454336
74296.40800000002,4476933186676195e-21,-2.963166946026712
75228.24000000002,416439125021372e-20,-2.976331615508655
76160.07200000003,3907509861687394e-21,-2.981808109635563
77091.90400000002,3686885570958386e-21,-2.9936871695904865
78023.73600000002,35011376458235383e-22,-3.0066430976938907
78955.56800000003,33355324239928006e-22,-3.009252713991473
79887.40000000002,3186670341332035e-21,-3.024182958544733
80819.23200000002,3063943185921799e-21,-3.0306228744187416
81751.06400000003,2949592465540946e-21,-3.0353579526794023
82682.89600000002,28489232269644704e-22,-3.040777898138545
83614.72800000003,2764828171939874e-21,-3.053849017972581
84546.56000000003,2678832024411531e-21,-3.0573449124643255
85478.39200000002,26034100801792348e-22,-3.066448898908579
86410.22400000003,25369493496266002e-22,-3.0724531806012902
87342.05600000003,247137991852169e-20,-3.077658450562438
88273.88800000004,2414610976924944e-21,-3.085852422334701
89205.72000000003,2362096956200856e-21,-3.092466522068058
