frequency,amplitude,phase
1e3,1,0
2250.25025025,1330471819360603e-20,-1.216421039221334
3500.5005005000003,5253164944223445e-21,-1.4841614044169469
4750.75075075,1716283757008768e-21,-1.1910304574758173
6001.0010010000005,8127145007009469e-22,2.1251603262470313
7251.251251250001,5265266196114542e-22,2.9129582009158588
8501.5015015,11908062147111813e-22,1.6350995901715433
9751.751751750002,15706845599915836e-22,1.6289064622742433
11002.002002000001,14880807015087925e-22,1.2497154260035999
12252.25225225,17927241421621593e-22,1.2697438196279152
13502.502502500001,26925103155889953e-22,1.1640241742635136
14752.752752750002,6704179502361251e-21,0.950373898214735
16003.003003000002,71677960536245125e-22,-2.083656330576896
17253.25325325,21435881077761704e-22,-2.277518895050634
18503.503503500004,1403111625705332e-21,-2.3681525007582636
19753.753753750003,10638523686229429e-21,2.0022054676960375
21004.004004000002,1396923358858548e-22,1.1503452936782335
22254.25425425,389510224148562e-22,1.6939766666886669
23504.5045045,1018061782707956e-23,1.9470989674436217
24754.754754750003,30830793738946636e-24,-1.851344758578773
26005.005005000003,14735382094634887e-24,-0.8347794897088213
27255.255255250002,5001507234573364e-23,-1.8134639473178944
28505.505505500005,49745594392336487e-24,-0.8157101998940188
29755.755755750004,12732413846588674e-24,-0.011565211021323317
31006.006006000003,17156852783030378e-23,-0.15413699204115977
32256.256256250002,22572194757078663e-23,0.33931377558378445
33506.5065065,6487170587548637e-22,0.03095868869355363
34756.75675675,21861848352998955e-22,0.0999677655784784
36007.00700700001,14394755699198718e-21,-2.761467012523559
37257.25725725001,33169456503218862e-22,-3.113820227829591
38507.507507500006,2347843674457531e-21,3.0502997399711616
39757.757757750005,2018477521353341e-21,-3.122157720108423
41008.008008000004,15318884082938656e-22,-2.8193254558133147
42258.25825825,3343221073485356e-21,3.0951499860999054
43508.5085085,31812889930323343e-22,2.9932008704994053
44758.75875875,3220221625488595e-21,2.9752327737696116
46009.009009,34460004539651406e-22,2.9440688354102025
47259.25925925001,381478894442345e-20,2.9127356228043753
48509.50950950001,4265787554929713e-21,2.8837118958467847
49759.759759750006,4834115946106797e-21,2.8509767418094487
51010.010010000005,5497976501467145e-21,2.8207072208166504
52260.260260250005,63726048307853754e-22,2.794391605916678
53510.510510500004,7455372749220018e-21,2.764721876204704
54760.76076075,8886544054334965e-21,2.7370198837089466
56011.01101100001,10835481278779786e-21,2.7044105954908955
57261.26126125001,13040113870054892e-21,2.750712974824861
58511.51151150001,18913516894410114e-21,2.6510879583048106
59761.76176175001,2774647192084088e-20,2.6077381931444834
61012.01201200001,5042358109009927e-20,2.534334273358739
62262.262262250006,0.0002123232378387007,2.156590593082808
63512.512512500005,9330263941009992e-20,-0.3562769295628323
64762.762762750004,407343973073566e-19,-0.4681877512142934
66013.013013,2643305012876855e-20,-0.5296653279507394
67263.26326325,1974511199422735e-20,-0.5650347931258712
68513.5135135,1591197189573182e-20,-0.5925315504804034
69763.76376375,13396856090269599e-21,-0.6157331218198152
71014.01401400001,11658306853732959e-21,-0.637302659692109
72264.26426425001,10329325079204155e-21,-0.6583846333857243
73514.51451450001,931954007615337e-20,-0.6778439150856167
74764.76476475001,8527759948638879e-21,-0.6960737770575883
76015.01501500001,7869820445198212e-21,-0.7151389624852615
77265.26526525001,7316667632077527e-21,-0.7309982545984359
78515.51551550001,6859972886156673e-21,-0.7483403568110976
79765.76576575001,6466783593548929e-21,-0.7654479384427637
81016.01601600001,61167515417817825e-22,-0.7818014491298129
82266.26626625001,5816129835049978e-21,-0.7964616523782599
83516.5165165,5539258029671404e-21,-0.8136756186391569
84766.76676675,5303975933049046e-21,-0.8273712554874318
86017.017017,5090232913357446e-21,-0.8423660291414642
87267.26726725,4899727093485691e-21,-0.8560163800056393
88517.5175175,4725017067155776e-21,-0.8708678021130164
89767.76776775,4557116034605481e-21,-0.8842000751252999
91018.018018,4415376769651273e-21,-0.8961187434517177
92268.26826825002,4277505262811555e-21,-0.9102519829494908
93518.51851850002,41512433128362635e-22,-0.9228976908703433
94768.76876875001,4033355239957221e-21,-0.9354667185107749
96019.01901900001,3926233709502429e-21,-0.9478463474654353
97269.26926925001,3828118500982661e-21,-0.9586673316398183
98519.51951950001,37265522771083648e-22,-0.9721621064085858
99769.76976975001,36442632015825565e-22,-0.9824710639239492
101020.02002000001,35610353655444073e-22,-0.9943505265308693
102270.27027025001,34767417463230034e-22,-1.0060709850877978
103520.52052050001,34039602195111727e-22,-1.0169256359935945
104770.77077075001,33310126651016233e-22,-1.0265989119510923
106021.02102100001,3267125052055544e-21,-1.03756926968759
107271.27127125,3201167315957863e-21,-1.0490871576876881
108521.5215215,314079761441515e-20,-1.0594260298683997
109771.77177175,308337563682408e-20,-1.0691982910757398
111022.02202200002,30273218708574063e-22,-1.0793431286468436
112272.27227225002,29733163948193214e-22,-1.0886702349864648
113522.52252250002,2923478855191424e-21,-1.0987857885723562
114772.77277275002,2875284490136376e-21,-1.106948263798009
116023.02302300002,2828327448619023e-21,-1.1171460705934741
117273.27327325002,27842005475006227e-22,-1.126895686813504
118523.52352350001,27418365421556825e-22,-1.1356206505118487
119773.77377375001,2699738417042643e-21,-1.1448643821959439
121024.02402400001,26592286799724042e-22,-1.1522322868103423
122274.27427425001,26215443187556638e-22,-1.1608732649673277
123524.52452450001,25835674875290344e-22,-1.1701207034898986
124774.77477475001,25478200854575485e-22,-1.1773490619381057
126025.02502500001,25147632001785943e-22,-1.186109866025698
127275.27527525001,24797587696595327e-22,-1.1940517688293086
128525.52552550001,2447548878599418e-21,-1.2030509868145054
129775.77577575001,24169114630496716e-22,-1.2106399849528535
131026.026026,23877012221852626e-22,-1.218107766211372
132276.27627625002,2356559420560907e-21,-1.2255710923564045
133526.5265265,2328594794845875e-21,-1.2334055540721667
134776.77677675002,23011217632284094e-22,-1.2411365398488567
136027.027027,2276229471829615e-21,-1.2486854894279655
137277.27727725002,22488030280603955e-22,-1.2556167341944204
138527.5275275,22229353498602913e-22,-1.2636860751877554
139777.77777775002,21989827848665484e-22,-1.2703653590781616
141028.02802800003,21753075584522744e-22,-1.277907049886144
142278.27827825,21519340066355483e-22,-1.285029911938432
143528.52852850003,21312488063345516e-22,-1.2917033486957188
144778.77877875,21089250903184547e-22,-1.2982851014215702
146029.02902900003,20860508788852178e-22,-1.305509872378661
147279.27927925,2065428501423442e-21,-1.3120497373466284
148529.52952950003,20457618371482637e-22,-1.318363704172534
149779.77977975,202537031984115e-20,-1.3252816817336823
151030.03003000002,20037980525115756e-22,-1.331453139094329
152280.28028025,19873579320417817e-22,-1.3380824114297072
153530.53053050002,1969123470615377e-21,-1.3441304625653214
154780.78078075,19503294510026995e-22,-1.350665427226977
156031.03103100002,19318156593847974e-22,-1.3573468051562638
157281.28128125,19151151782366224e-22,-1.362959193535526
158531.53153150002,1898926704345143e-21,-1.369535466843475
159781.78178175,18822151237694545e-22,-1.3754815454352185
161032.03203200002,1865913246984726e-21,-1.3812850515244248
162282.28228225003,1849386666935457e-21,-1.3874592311145504
163532.53253250002,18354216287386586e-22,-1.3934932537481208
164782.78278275003,18216437733895402e-22,-1.3985653176193111
166033.033033,18065157112261945e-22,-1.404955797600937
167283.28328325003,1792217335895721e-21,-1.4109643155084628
168533.5335335,17784665416034617e-22,-1.4169572559405168
169783.78378375003,17635910432108993e-22,-1.4225315342350826
171034.034034,17502445466717412e-22,-1.4284778843876658
172284.28428425002,1737115186085983e-21,-1.4333404014375715
173534.5345345,17242312383078177e-22,-1.4389377296934298
174784.78478475002,17116799630564883e-22,-1.444362707324793
176035.035035,16984376193486636e-22,-1.4497594815030623
177285.28528525002,16866264392233685e-22,-1.4559022607686736
178535.5355355,1674422888890589e-21,-1.460659038455375
179785.78578575002,16622633162573308e-22,-1.4656035717666867
181036.036036,16509349802840129e-22,-1.4714844942496954
182286.28628625002,16401768224153453e-22,-1.4763379667238155
183536.53653650003,1628644432822683e-21,-1.4819073100318534
184786.78678675002,16176211366179374e-22,-1.4865667444713315
186037.03703700003,16067622400594912e-22,-1.4915657381482499
187287.28728725002,15960529851095481e-22,-1.4970100653432183
188537.53753750003,1586571795391209e-21,-1.5019955315665163
189787.78778775,15762199152952115e-22,-1.5069521931324028
191038.03803800003,1566164641861551e-21,-1.5117265246452072
192288.28828825,15556512417651651e-22,-1.5166606632760544
193538.53853850003,15469010187327467e-22,-1.5216646604914956
194788.78878875,1536968039432769e-21,-1.5269201388787168
196039.03903900002,15281180260130913e-22,-1.530740137281392
197289.28928925,15186230524843401e-22,-1.5358528576751012
198539.53953950002,15090600451264613e-22,-1.5406909360254744
199789.78978975,15005403951493086e-22,-1.545735043842421
201040.04004000002,14923481809810428e-22,-1.5502843764287852
202290.29029025004,14839390052874824e-22,-1.5551272146124713
203540.54054050002,14757055626522204e-22,-1.5596694852813007
204790.79079075003,14666316891384466e-22,-1.56437174989991
206041.04104100002,14592086897959264e-22,-1.5689116987352445
207291.29129125003,14507837780510074e-22,-1.5737385236839627
208541.54154150002,14432524123140455e-22,-1.5782797437237492
209791.79179175003,14352119826797832e-22,-1.5830782241433623
211042.04204200002,14277015339675306e-22,-1.5870444390616552
212292.29229225003,14199972289751808e-22,-1.5916776444339529
213542.5425425,14128739951695055e-22,-1.5960641269248599
214792.79279275003,14054436249518342e-22,-1.6006901719289859
216043.043043,13962889081568905e-22,-1.6018296147517526
217293.29329325003,13916934616738935e-22,-1.609371423528267
218543.5435435,13846944212485398e-22,-1.6138297152120842
219793.79379375002,13783807548444235e-22,-1.6181313372128237
221044.04404400004,13709315617369599e-22,-1.6223470941222806
222294.29429425002,13647250956850238e-22,-1.6269312953223014
223544.54454450004,13581948914209038e-22,-1.630960980063344
224794.79479475002,13516505068640942e-22,-1.6353253855159813
226045.04504500004,13453512198966784e-22,-1.6395286114100458
227295.29529525002,133951999795846e-20,-1.6434575211048446
228545.54554550003,13333075034282717e-22,-1.6483750478986927
229795.79579575002,13269570821951123e-22,-1.652683905813151
231046.04604600003,13210783785914775e-22,-1.6564811975496274
232296.29629625002,13151442872472643e-22,-1.6607882712691437
233546.54654650003,13096980858508974e-22,-1.6649729253675358
